subfam_name,n_i,n_T.te,n_T.peak,expected,fc.expected,comparison,padj.final,significance,ZNF,kzfp,age
L2b,1878,91943,100585,1253.16,1.5,te_in_peak,4.93e-60,****,19_05_12_293T_ZNF705AHA_IP_S12,ZNF705A,0
L2,1027,54017,100585,736.24,1.4,te_in_peak,3.82e-23,****,19_05_12_293T_ZNF705AHA_IP_S12,ZNF705A,0
L2a,2951,166340,100585,2267.18,1.3,te_in_peak,4.88e-42,****,19_05_12_293T_ZNF705AHA_IP_S12,ZNF705A,0
L2,19,54017,1141,7.84,2.3,te_in_peak,0.0463,*,ZFP14_pubM,ZFP14,105
L2,79,54017,5173,39.63,2,te_in_peak,1.71e-06,****,ZFP69B_pubM,ZFP69B,105
L2a,248,166340,5173,122.03,2,te_in_peak,2.35e-21,****,ZFP69B_pubM,ZFP69B,105
L2b,93,91943,5173,67.45,1.4,te_in_peak,0.05,n.s,ZFP69B_pubM,ZFP69B,105
L2c,114,126360,5173,92.7,1.2,te_in_peak,0.315,n.s,ZFP69B_pubM,ZFP69B,105
L2b,1148,91943,3633,77.86,14.6,te_in_peak,1e-300,****,ZNF436_schmitges,ZNF436,179.2
L2d,275,27881,3633,23.61,11.2,te_in_peak,3.03e-184,****,ZNF436_schmitges,ZNF436,179.2
L2c,1139,126360,3633,107,10.6,te_in_peak,1e-300,****,ZNF436_schmitges,ZNF436,179.2
L2d2,329,52674,3633,44.6,7.2,te_in_peak,3.46e-162,****,ZNF436_schmitges,ZNF436,179.2
L2a,395,166340,3633,140.86,2.8,te_in_peak,1.84e-66,****,ZNF436_schmitges,ZNF436,179.2
MIRb,402,223887,3633,189.59,2.1,te_in_peak,7.12e-39,****,ZNF436_schmitges,ZNF436,179.2
MIR3,134,87870,3633,74.41,1.8,te_in_peak,3.87e-08,****,ZNF436_schmitges,ZNF436,179.2
MIRc,155,100994,3633,85.52,1.8,te_in_peak,1.41e-09,****,ZNF436_schmitges,ZNF436,179.2
MIR,255,174396,3633,147.68,1.7,te_in_peak,1.25e-13,****,ZNF436_schmitges,ZNF436,179.2
L2a,351,166340,6159,184.31,1.9,te_in_peak,1.89e-25,****,ZKSCAN5_pubM,ZKSCAN5,163.7
