"","TEsubFam","X1","X2"
"Alu","Alu",2.76434832158689,-5.61831744929375
"AluJb","AluJb",2.86707387555665,-6.10610240146814
"AluJo","AluJo",2.73314800570283,-5.64905013203094
"AluJr","AluJr",2.83760899072172,-6.01005781262396
"AluJr4","AluJr4",3.04696771322835,-3.37625797597866
"AluSc","AluSc",2.80042047447445,-5.88131856154032
"AluSc5","AluSc5",2.62632276624552,-5.10444536979533
"AluSc8","AluSc8",2.83635634154813,-5.92748752629439
"AluSg","AluSg",2.8110408212641,-5.91680762376307
"AluSg4","AluSg4",2.7162282708884,-5.46302293774553
"AluSg7","AluSg7",2.74378353049327,-5.45595926131831
"AluSp","AluSp",2.87366508827021,-6.10519304698327
"AluSq","AluSq",2.77045830025476,-5.65978582872599
"AluSq10","AluSq10",2.35996328218003,-1.96035209644716
"AluSq2","AluSq2",2.88769981860776,-6.07651569309513
"AluSq4","AluSq4",2.42699587144508,-1.96153457593134
"AluSx","AluSx",2.87345217046693,-6.11164279417635
"AluSx1","AluSx1",2.90028758757887,-6.15470770896142
"AluSx3","AluSx3",2.81966547907054,-5.99458921293628
"AluSx4","AluSx4",2.78286301074494,-5.70277252150909
"AluSz","AluSz",2.80978850254984,-6.06141895596797
"AluSz6","AluSz6",1.46205812200225,-5.85445046015379
"AluY","AluY",2.70042792904875,-5.39298418730904
"AluYa5","AluYa5",-2.11429362704022,2.77601743360636
"AluYa8","AluYa8",-1.3347734131923,2.11481759497867
"AluYb8","AluYb8",-2.14346488639673,2.81177617746621
"AluYb9","AluYb9",-2.0174856950585,2.66031737849376
"AluYc","AluYc",2.63194800394719,-5.09791982540553
"AluYc3","AluYc3",-0.990642374830488,1.30800921022002
"AluYd8","AluYd8",-2.07217259566764,2.87606823030616
"AluYe5","AluYe5",2.26083480062322,-1.79662957062706
"AluYe6","AluYe6",-1.844318667393,1.93210724883493
"AluYf1","AluYf1",2.67408049772858,-5.0959856624451
"AluYg6","AluYg6",-1.93261847454786,2.66867292474389
"AluYh3","AluYh3",-0.680831339869903,1.13858723703511
"AluYh3a3","AluYh3a3",-2.09787212085716,2.61739018644483
"AluYh7","AluYh7",-1.28957645003222,1.57666749716222
"AluYh9","AluYh9",-1.95212214266641,2.40720771959513
"AluYi6","AluYi6",-0.875249271681176,1.25228541083643
"AluYi6_4d","AluYi6_4d",-2.53132363379644,2.2767225476728
"AluYj4","AluYj4",2.38320337532301,-1.86742996502699
"AluYk11","AluYk11",-1.66043148320335,1.77999623914324
"AluYk12","AluYk12",-1.76933022242064,2.10647454167627
"AluYk2","AluYk2",2.58653704558752,-5.21065931850959
"AluYk3","AluYk3",2.36189727540342,-5.10827353028816
"AluYk4","AluYk4",2.26827203813161,-1.80179153836424
"AluYm1","AluYm1",2.50765633419057,-5.08457604677555
"AmnSINE1","AmnSINE1",4.60409289911509,-1.47633224485428
"AmnSINE2","AmnSINE2",0.598332219207008,3.12865462763577
"Arthur1","Arthur1",0.335294913259418,-2.73106363834272
"Arthur1A","Arthur1A",1.79332306195316,1.3065049556438
"Arthur1B","Arthur1B",0.341413476452419,-2.98300676071065
"Arthur1C","Arthur1C",0.667344061569289,0.52971591670867
"Arthur2","Arthur2",0.484219188482427,-1.96197861945648
"BLACKJACK","BLACKJACK",1.19339412583416,-3.82188656491222
"CR1-11_Crp","CR1-11_Crp",-1.89775883337871,2.66623172301904
"CR1-12_AMi","CR1-12_AMi",0.187649632625034,1.88100650624005
"CR1-13_AMi","CR1-13_AMi",-0.0779728267657842,2.37084391618872
"CR1-16_AMi","CR1-16_AMi",0.887539463713985,0.622178714767506
"CR1-1_Amn","CR1-1_Amn",-0.894966533903269,3.48704636949163
"CR1-3_Croc","CR1-3_Croc",4.05509987280284,-1.05792495552338
"CR1-L3A_Croc","CR1-L3A_Croc",1.47321850610486,2.30339574100313
"CR1-L3B_Croc","CR1-L3B_Croc",-2.3386242498095,2.48977283023238
"CR1_Mam","CR1_Mam",4.19846766265009,-1.33293828463911
"Chap1_Mam","Chap1_Mam",2.21824005847953,0.0216320933842109
"Chap1a_Mam","Chap1a_Mam",3.61235037193636,-1.88576513064175
"Charlie1","Charlie1",3.56833023476237,-0.910413557990071
"Charlie10","Charlie10",-2.8800139649157,1.4663425838782
"Charlie10a","Charlie10a",-2.86918801000355,1.55911849858248
"Charlie10b","Charlie10b",-2.92517079968787,1.48753389648155
"Charlie11","Charlie11",0.151967129228806,2.30293169775178
"Charlie13a","Charlie13a",1.87008775804361,0.95747765515384
"Charlie13b","Charlie13b",1.8319185183226,1.46977716654199
"Charlie14a","Charlie14a",2.32780743744397,-0.607702098458434
"Charlie15a","Charlie15a",4.02178627004306,-2.78466873860345
"Charlie15b","Charlie15b",4.3572223075347,-1.40744381843977
"Charlie16","Charlie16",3.99851659234325,-0.991808266066648
"Charlie16a","Charlie16a",4.44874998856809,-1.36861741086462
"Charlie17","Charlie17",2.53054424554939,-0.897583720473412
"Charlie17a","Charlie17a",3.25133293852077,-1.64923705711232
"Charlie17b","Charlie17b",1.11025362521689,0.753714707506757
"Charlie18a","Charlie18a",4.48833737980431,-1.80939979130828
"Charlie19a","Charlie19a",4.54720108947853,-1.52045411743923
"Charlie1a","Charlie1a",1.25494586896093,-4.66154112470348
"Charlie1b","Charlie1b",3.27422794473737,-0.99186382213005
"Charlie20a","Charlie20a",3.42854700330106,-0.732132563612565
"Charlie21a","Charlie21a",1.85050834159816,-0.00568426038877812
"Charlie22a","Charlie22a",4.18160613975248,-1.09809720813121
"Charlie23a","Charlie23a",2.14571211574143,1.75336534686701
"Charlie24","Charlie24",2.08953986037416,1.920346836774
"Charlie25","Charlie25",2.18838420113852,-2.56684151895666
"Charlie26a","Charlie26a",2.01289195684335,2.00099872259348
"Charlie29a","Charlie29a",3.80580049441623,-0.89877960180317
"Charlie29b","Charlie29b",3.17035844134019,-2.531926195168
"Charlie2a","Charlie2a",2.08026705146579,-2.68994992598244
"Charlie2b","Charlie2b",1.69403729203072,-3.20878377413774
"Charlie3","Charlie3",1.88242628325375,1.57730867675479
"Charlie30a","Charlie30a",1.08541893028887,2.83420609007932
"Charlie30b","Charlie30b",1.88068775878145,1.53178251744827
"Charlie31a","Charlie31a",1.52145251055285,-0.640437242643567
"Charlie32a","Charlie32a",0.426018888892021,3.22224993566702
"Charlie4","Charlie4",4.53378821392896,-1.53833428623182
"Charlie4a","Charlie4a",4.47728566687105,-1.37975737464533
"Charlie4z","Charlie4z",4.39805873473629,-2.14730738417618
"Charlie5","Charlie5",2.33704748863696,-0.580359831169349
"Charlie6","Charlie6",1.85488629110449,0.151268282585915
"Charlie7","Charlie7",2.61097446993207,-2.29317725593016
"Charlie7a","Charlie7a",4.21004979505618,-1.25005794366485
"Charlie7b_Mars","Charlie7b_Mars",-1.22937079116494,2.11898740469817
"Charlie8","Charlie8",3.46173911638589,-2.93378365231501
"Charlie9","Charlie9",3.60178481781512,-0.839945166263147
"Cheshire","Cheshire",2.66884382787109,-0.906838261102023
"Chompy-6_Croc","Chompy-6_Croc",-0.572794403491792,3.56953578133344
"Chompy-7_Croc","Chompy-7_Croc",-2.74091365718845,1.90190324300526
"DNA1_Mam","DNA1_Mam",-2.30763658706067,2.49385771962326
"ERV24B_Prim-int","ERV24B_Prim-int",-2.24910139221324,2.68999255024839
"ERV24_Prim-int","ERV24_Prim-int",-2.08113757141034,2.77509205897187
"ERV3-16A3_I-int","ERV3-16A3_I-int",-1.45346574880613,2.65392172333614
"ERV3-16A3_LTR","ERV3-16A3_LTR",2.36089272298471,-1.09078555730661
"ERVL-B4-int","ERVL-B4-int",-2.24234084179387,2.65206516725511
"ERVL-E-int","ERVL-E-int",0.640860307699158,-5.32743027486151
"ERVL-int","ERVL-int",-3.77324663512278,2.04714911541897
"EUTREP15","EUTREP15",0.289947074230678,1.53322233733064
"EUTREP16","EUTREP16",1.68971700732265,1.85222383289326
"EUTREP4","EUTREP4",0.794032025501695,0.974377840207371
"EUTREP7","EUTREP7",0.0329156195152889,1.6901291649885
"EUTREP8","EUTREP8",1.1405353259629,2.21181994005615
"Eulor1","Eulor1",-0.704733559003341,2.8877680612321
"Eulor10","Eulor10",-0.81466501058388,3.46300400837689
"Eulor11","Eulor11",0.0613037688305794,1.86667216505638
"Eulor12","Eulor12",-0.745282219130246,3.04611992584757
"Eulor2A","Eulor2A",-0.883630077328764,3.12420715000777
"Eulor2B","Eulor2B",-2.03127066546272,2.85618204866321
"Eulor2C","Eulor2C",-1.45895319076008,3.25321277777756
"Eulor3","Eulor3",-1.84607443295648,2.44411554536105
"Eulor5A","Eulor5A",-0.623096688286809,3.19321493342298
"Eulor5B","Eulor5B",-0.565665502225372,3.56494920851567
"Eulor6A","Eulor6A",-1.27683109116147,3.10313289206028
"Eulor6B","Eulor6B",-1.04100953481879,2.97569614677367
"Eulor6C","Eulor6C",-2.07190385050723,2.96629005150027
"Eulor6D","Eulor6D",-0.748910731077783,3.21249625982585
