TEsubFam	V1	X1	X2	age1	age2	age1.curated	is.age.curated
SVA_A	SVA_A	-3.277826275	2.674761375	0	9	0	No
SVA_E	SVA_E	-3.094051016	2.289127307	0	0	0	No
AluYa5	AluYa5	-2.114293627	2.776017434	1	0	1	No
AluYb9	AluYb9	-2.017485695	2.660317378	1	0	1	No
AluYd8	AluYd8	-2.072172596	2.87606823	1.5	0	1.5	No
AluYk12	AluYk12	-1.769330222	2.106474542	2	0	2	No
L1HS	L1HS	-3.539125313	-1.273079037	2	0	2	No
AluYb8	AluYb8	-2.143464886	2.811776177	3	0	3	No
AluYi6	AluYi6	-0.875249272	1.252285411	3	20	3	No
AluYg6	AluYg6	-1.932618475	2.668672925	4	20	4	No
AluYk11	AluYk11	-1.660431483	1.779996239	5	9	5	No
L1PA2	L1PA2	-3.633148384	-1.211260297	7	0	7	No
HERV-Fc1-int	HERV-Fc1-int	-2.357237028	2.712954988	8	6	8	No
HERV-Fc1_LTR2	HERV-Fc1_LTR2	-1.596530254	2.433991462	9	9	9	No
Alu	Alu	2.764348322	-5.618317449	10	29	10	No
AluYe5	AluYe5	2.260834801	-1.796629571	10	15	10	No
HERV-Fc1_LTR3	HERV-Fc1_LTR3	-1.78358264	1.780803383	11	9	11	No
L1PA3	L1PA3	-3.632461971	-1.220300122	11	9	11	No
SVA_D	SVA_D	-3.270174991	2.671532411	11	0	11	No
AluYi6_4d	AluYi6_4d	-2.531323634	2.276722548	11.5	29	11.5	No
AluYc3	AluYc3	-0.990642375	1.30800921	12	20	12	No
AluYe6	AluYe6	-1.844318667	1.932107249	12	15	12	No
SVA_C	SVA_C	-3.08991743	2.564308813	12	6	12	No
AluYk4	AluYk4	2.268272038	-1.801791538	14	20	14	No
SVA_B	SVA_B	-3.105597779	2.571992278	14	6	14	No
L1PA4	L1PA4	-3.620353674	-1.239418466	15	15	15	No
AluY	AluY	2.700427929	-5.392984187	16	20	16	No
AluYc	AluYc	2.631948004	-5.097919825	16	20	16	No
AluYf1	AluYf1	2.674080498	-5.095985662	16	29	16	No
AluYh3	AluYh3	-0.68083134	1.138587237	16	20	16	No
AluYm1	AluYm1	2.507656334	-5.084576047	16	20	16	No
MER9a2	MER9a2	-2.230463119	3.358358227	16	20	16	No
AluYk2	AluYk2	2.586537046	-5.210659319	17	20	17	No
AluYk3	AluYk3	2.361897275	-5.10827353	17	20	17	No
MER11D	MER11D	-2.246023817	3.330598702	17	20	17	No
AluYj4	AluYj4	2.383203375	-1.867429965	18	29	18	No
HERVK11D-int	HERVK11D-int	-2.332225664	3.18220938	18	20	18	No
MER9a1	MER9a1	-2.256697434	3.285646452	18	20	18	No
L1PA5	L1PA5	-3.616827005	-1.240905448	19	20	19	No
HERV1_LTRc	HERV1_LTRc	-1.574819356	2.510047019	20	20	20	No
LTR13A	LTR13A	-2.107587622	3.075935569	20	29	20	No
L1P1	L1P1	-2.396858614	2.999271587	21	15	21	No
LTR2B	LTR2B	0.15882482	1.562646395	21	20	21	No
MER9a3	MER9a3	-2.268146586	3.255151289	21	29	21	No
SVA_F	SVA_F	-3.217342183	2.660111196	21	0	21	No
HERV17-int	HERV17-int	-2.172275474	2.534229548	22	29	22	No
AluYa8	AluYa8	-1.334773413	2.114817595	22.5	9	22.5	No
AluSc5	AluSc5	2.626322766	-5.10444537	23	29	23	No
AluSg7	AluSg7	2.74378353	-5.455959261	23	29	23	No
AluSp	AluSp	2.873665088	-6.105193047	23	29	23	No
LTR10C	LTR10C	-3.926352887	3.21697794	23	29	23	No
LTR13	LTR13	-1.655540625	3.746776656	23	15	23	No
LTR7B	LTR7B	-2.403138991	2.820328319	23	20	23	No
AluSc	AluSc	2.800420474	-5.881318562	24	29	24	No
AluSc8	AluSc8	2.836356342	-5.927487526	24	29	24	No
AluSq10	AluSq10	2.359963282	-1.960352096	24	29	24	No
AluSq4	AluSq4	2.426995871	-1.961534576	24	29	24	No
HERVK9-int	HERVK9-int	-2.632681146	2.473557992	24	20	24	No
LTR17	LTR17	-2.915312987	2.420774964	24	29	24	No
AluSx4	AluSx4	2.782863011	-5.702772522	25	29	25	No
AluYh7	AluYh7	-1.28957645	1.576667497	25	29	25	No
LTR14A	LTR14A	-3.046370336	2.131823199	25	29	25	No
LTR2	LTR2	-3.285485826	4.978796125	25	20	25	No
AluSg	AluSg	2.811040821	-5.916807624	26	29	26	No
AluSg4	AluSg4	2.716228271	-5.463022938	26	29	26	No
L1P	L1P	-3.660179036	-1.177212641	26	29	26	No
LTR5_Hs	LTR5_Hs	-2.246948833	2.558203281	26	9	26	No
