name,ratio,p.adj,sig,cond,day,role
CCT8,-1.88,2.14e-13,TRUE,436vsGFP,0,
TXNL1,-2.85,2.14e-13,TRUE,436vsGFP,0,
GPATCH1,-4.16,6.35e-11,TRUE,436vsGFP,0,
BRCA1,-3.84,2.36e-10,TRUE,436vsGFP,0,
CON__Q9U6Y5,-4.85,2.73e-10,TRUE,436vsGFP,0,
C11orf58,-1.73,3.26e-10,TRUE,436vsGFP,0,
PPM1G,-1.13,1.74e-09,TRUE,436vsGFP,0,
ADAR,-1.16,1.9e-09,TRUE,436vsGFP,0,
TDP2,-3.78,2.13e-09,TRUE,436vsGFP,0,
CCAR2,-1.35,5.15e-09,TRUE,436vsGFP,0,
SALL2,-1.63,1.04e-07,TRUE,436vsGFP,0,
ZNF268,-3.4,2.94e-07,TRUE,436vsGFP,0,
ZNF436,7.7,3.75e-07,TRUE,436vsGFP,0,
RREB1,-2.77,8.67e-07,TRUE,436vsGFP,0,
PKN3,-4.56,9.93e-07,TRUE,436vsGFP,0,
CHD1,-2.21,2.83e-06,TRUE,436vsGFP,0,
GPATCH4,-2.57,3.63e-06,TRUE,436vsGFP,0,
RIF1,-3.07,4.04e-05,TRUE,436vsGFP,0,
NASP,-1.02,5.7e-05,TRUE,436vsGFP,0,
CDCA2,-4.06,8.57e-05,TRUE,436vsGFP,0,
KPNA3,-2.97,0.000105,TRUE,436vsGFP,0,
L1TD1,-0.691,0.000243,TRUE,436vsGFP,0,
MT1E,-2.78,0.000281,TRUE,436vsGFP,0,
CMTR1,-2.17,3e-04,TRUE,436vsGFP,0,
SALL4,-1.39,0.00137,TRUE,436vsGFP,0,
HNRNPK,-0.629,0.0028,TRUE,436vsGFP,0,
RNF2,-1.34,0.00304,TRUE,436vsGFP,0,
PCGF6,-2.18,0.00332,TRUE,436vsGFP,0,
TET1,-2.54,0.00382,TRUE,436vsGFP,0,
HELLS,-2.42,0.00481,TRUE,436vsGFP,0,
PARP1,-0.635,0.00494,TRUE,436vsGFP,0,
PSME3,-2.39,0.00501,TRUE,436vsGFP,0,
SIRT1,-2.69,0.00504,TRUE,436vsGFP,0,
NPM1,-1.45,0.00557,TRUE,436vsGFP,0,
ORC3,-1.31,0.00606,TRUE,436vsGFP,0,
PHB,0.648,0.00618,TRUE,436vsGFP,0,
SUGP2,-2.64,0.00623,TRUE,436vsGFP,0,
ERCC5,-2.89,0.00705,TRUE,436vsGFP,0,
NSD1,-3.34,0.0074,TRUE,436vsGFP,0,
ZNF516,-2.04,0.00741,TRUE,436vsGFP,0,
YEATS2,-2.58,0.00757,TRUE,436vsGFP,0,
ESF1,-3.16,0.00786,TRUE,436vsGFP,0,
NCBP2,-1.15,0.00815,TRUE,436vsGFP,0,
HNRNPF,-0.822,0.00866,TRUE,436vsGFP,0,
DDX31,-2.27,0.0102,TRUE,436vsGFP,0,
FTSJ3,-1.47,0.0107,TRUE,436vsGFP,0,
SUGP1,-2,0.0112,TRUE,436vsGFP,0,
HNRNPU,-0.689,0.0126,TRUE,436vsGFP,0,
LBR,-0.918,0.0128,TRUE,436vsGFP,0,
SMARCA5,-0.668,0.014,TRUE,436vsGFP,0,
SF3B1,-0.945,0.0154,TRUE,436vsGFP,0,
MBTD1,-1.95,0.016,TRUE,436vsGFP,0,
KDM3B,-1.83,0.0168,TRUE,436vsGFP,0,
HN1L,-0.92,0.0174,TRUE,436vsGFP,0,
PUS7,-0.526,0.0184,FALSE,436vsGFP,0,
EIF4G2,-1.77,0.0199,TRUE,436vsGFP,0,
XAB2,-1.77,0.02,TRUE,436vsGFP,0,
AURKB,-0.7,0.0215,TRUE,436vsGFP,0,
HSPD1,0.655,0.0215,TRUE,436vsGFP,0,
CWC27,-1.79,0.023,TRUE,436vsGFP,0,
INCENP,-3.81,0.023,TRUE,436vsGFP,0,
WDR83,-1.93,0.024,TRUE,436vsGFP,0,
CHERP,-0.893,0.0253,TRUE,436vsGFP,0,
BEND3,-1.94,0.0257,TRUE,436vsGFP,0,
BUD13,-1.53,0.0277,TRUE,436vsGFP,0,
AHCTF1,-2.85,0.0297,TRUE,436vsGFP,0,
TRMT1L,-0.618,0.0309,TRUE,436vsGFP,0,
BRCC3,-1.62,0.0317,TRUE,436vsGFP,0,
TP53BP1,-2.72,0.0317,TRUE,436vsGFP,0,
TCF12,-1.67,0.0335,TRUE,436vsGFP,0,
ECT2,-2.06,0.0349,TRUE,436vsGFP,0,
BRCA2,-3.03,0.0364,TRUE,436vsGFP,0,
SART3,-1.64,0.0392,TRUE,436vsGFP,0,
NACC1,-1.13,0.0396,TRUE,436vsGFP,0,
CCNT1,-0.883,0.0415,TRUE,436vsGFP,0,
L3MBTL2,-2.16,0.0432,TRUE,436vsGFP,0,
U2SURP,-0.784,0.0438,TRUE,436vsGFP,0,
FAM208A,-2.89,0.0469,TRUE,436vsGFP,0,
ZFP91-CNTF,-2.61,0.0484,TRUE,436vsGFP,0,
GTF2E1,-1.99,0.0495,TRUE,436vsGFP,0,
DNMT3B,-0.83,0.0515,FALSE,436vsGFP,0,
MDC1,-2.35,0.0532,FALSE,436vsGFP,0,
TAF9,-1.37,0.0572,FALSE,436vsGFP,0,
PRMT1,-0.717,0.0589,FALSE,436vsGFP,0,
RTF1,-1.14,0.0591,FALSE,436vsGFP,0,
SAP30BP,-1.99,0.0607,FALSE,436vsGFP,0,
KHSRP,-0.549,0.0615,FALSE,436vsGFP,0,
SSRP1,-1.03,0.0623,FALSE,436vsGFP,0,
CEBPZ,-1.42,0.0632,FALSE,436vsGFP,0,
ILF2,-1.99,0.0633,FALSE,436vsGFP,0,
IWS1,-1.81,0.0638,FALSE,436vsGFP,0,
SCML2,-1.68,0.0645,FALSE,436vsGFP,0,
SRRM2,-0.915,0.0657,FALSE,436vsGFP,0,
NOLC1,-0.902,0.0668,FALSE,436vsGFP,0,
DDX42,-1.1,0.0699,FALSE,436vsGFP,0,
EHMT2,-1.33,0.0712,FALSE,436vsGFP,0,
PAK2,-1.15,0.0718,FALSE,436vsGFP,0,
WDR70,-3.33,0.0723,FALSE,436vsGFP,0,
NAB1,-2.87,0.0726,FALSE,436vsGFP,0,
RAB35,-0.804,0.0733,FALSE,436vsGFP,0,
STAU1,-3.49,0.0735,FALSE,436vsGFP,0,
MCM10,-1.94,0.0741,FALSE,436vsGFP,0,
PRPF3,-1.7,0.0778,FALSE,436vsGFP,0,
EEF2,0.408,0.078,FALSE,436vsGFP,0,
MPHOSPH10,-2.23,0.079,FALSE,436vsGFP,0,
LRIF1,-3.02,0.0797,FALSE,436vsGFP,0,
EXOSC10,-1.2,0.08,FALSE,436vsGFP,0,
SMCHD1,-1.02,0.083,FALSE,436vsGFP,0,
MED15,-1.57,0.0881,FALSE,436vsGFP,0,
SF3B6,-0.805,0.0883,FALSE,436vsGFP,0,
HDAC1,-0.494,0.0888,FALSE,436vsGFP,0,
NOL6,-1.24,0.0896,FALSE,436vsGFP,0,
SRFBP1,-2.62,0.0896,FALSE,436vsGFP,0,
STRBP,-2.29,0.0899,FALSE,436vsGFP,0,
MTA1,-0.887,0.0903,FALSE,436vsGFP,0,
NUDC,-1.41,0.0907,FALSE,436vsGFP,0,
PLS3,0.669,0.0907,FALSE,436vsGFP,0,
PES1,-0.859,0.0912,FALSE,436vsGFP,0,
AP3B1,-0.614,0.0915,FALSE,436vsGFP,0,
ALYREF,-2.59,0.0917,FALSE,436vsGFP,0,
PRPF40B,-2.01,0.0917,FALSE,436vsGFP,0,
DDX18,-0.978,0.0922,FALSE,436vsGFP,0,
BOD1L1,-1.9,0.0931,FALSE,436vsGFP,0,
HAT1,-0.861,0.0937,FALSE,436vsGFP,0,
CSNK2B-LY6G5B-1181,-2.43,0.0941,FALSE,436vsGFP,0,
CDKN2AIP,-1.31,0.0943,FALSE,436vsGFP,0,
BPTF,-1.34,0.0945,FALSE,436vsGFP,0,
NOP14,-1.66,0.0957,FALSE,436vsGFP,0,
EIF4G1,-0.615,0.0961,FALSE,436vsGFP,0,
GTF3C3,-1.37,0.0971,FALSE,436vsGFP,0,
KNOP1,-2.01,0.0971,FALSE,436vsGFP,0,
DHX37,-1.33,0.107,FALSE,436vsGFP,0,
RFC1,-0.8,0.107,FALSE,436vsGFP,0,
SART1,-1.38,0.11,FALSE,436vsGFP,0,
VRTN,-0.592,0.111,FALSE,436vsGFP,0,
FAM50A,-1.45,0.112,FALSE,436vsGFP,0,
LUC7L3,-1.41,0.114,FALSE,436vsGFP,0,
CFDP1,-1.46,0.116,FALSE,436vsGFP,0,
SYNCRIP,-1.75,0.116,FALSE,436vsGFP,0,
NUP98,-0.461,0.118,FALSE,436vsGFP,0,
LEO1,-1.63,0.119,FALSE,436vsGFP,0,
SUMO2,-2.32,0.119,FALSE,436vsGFP,0,
ZBTB10,-2.99,0.122,FALSE,436vsGFP,0,
HSPA9,0.713,0.123,FALSE,436vsGFP,0,
NELFA,-1.76,0.127,FALSE,436vsGFP,0,
MAP1B,-0.791,0.128,FALSE,436vsGFP,0,
SALL1,-2.44,0.128,FALSE,436vsGFP,0,
ATRX,-1.63,0.129,FALSE,436vsGFP,0,
MGEA5,-0.407,0.131,FALSE,436vsGFP,0,
NAT10,-0.67,0.14,FALSE,436vsGFP,0,
CDCA5,-1.08,0.144,FALSE,436vsGFP,0,
AK4,0.64,0.145,FALSE,436vsGFP,0,
GTF2F1,-1.76,0.147,FALSE,436vsGFP,0,
DIMT1,-0.636,0.152,FALSE,436vsGFP,0,
ZNF318,-2.76,0.159,FALSE,436vsGFP,0,
SUPT16H,-0.592,0.16,FALSE,436vsGFP,0,
CDK13,-1.09,0.162,FALSE,436vsGFP,0,
PHF3,-0.628,0.163,FALSE,436vsGFP,0,
EPC1,-2.21,0.165,FALSE,436vsGFP,0,
VIM,0.748,0.165,FALSE,436vsGFP,0,
SPEN,-2.09,0.17,FALSE,436vsGFP,0,
MGA,-2.97,0.179,FALSE,436vsGFP,0,
TMPO.1,-1.84,0.179,FALSE,436vsGFP,0,
RBBP4,-2.84,0.18,FALSE,436vsGFP,0,
RANBP2,-0.732,0.182,FALSE,436vsGFP,0,
MKI67,-2.08,0.184,FALSE,436vsGFP,0,
FUBP1,-0.871,0.187,FALSE,436vsGFP,0,
ZNF451,-2.47,0.196,FALSE,436vsGFP,0,
ZFR,-0.76,0.198,FALSE,436vsGFP,0,
SNRNP70,-0.612,0.199,FALSE,436vsGFP,0,
MTA2,-0.488,0.2,FALSE,436vsGFP,0,
ZNF512B,-1.42,0.2,FALSE,436vsGFP,0,
PRPF31,-0.529,0.203,FALSE,436vsGFP,0,
RACGAP1,-1.85,0.209,FALSE,436vsGFP,0,
SRSF11,-1.89,0.212,FALSE,436vsGFP,0,
HTATSF1,-1.76,0.214,FALSE,436vsGFP,0,
SSB,-1.66,0.214,FALSE,436vsGFP,0,
CBX3,-0.554,0.215,FALSE,436vsGFP,0,
PPP1R10,-1.94,0.221,FALSE,436vsGFP,0,
