TEsubFam,X1,X2,TEFam,class,fam,count,age1.curated,is.age.curated,Hmark,mean_odds,combo_fisher,mean_combo
Alu,2.76434832158689,-5.61831744929375,SINE/Alu,SINE,Alu,7748,10,No,H3K27ac,3.1417302032293,0,8.04381571133543
Alu,2.76434832158689,-5.61831744929375,SINE/Alu,SINE,Alu,7748,10,No,H3K27me3,23.2968049717552,1,-2.64948743942224
Alu,2.76434832158689,-5.61831744929375,SINE/Alu,SINE,Alu,7748,10,No,H3K36me3,13.5106350419491,0,3.58118930998939
Alu,2.76434832158689,-5.61831744929375,SINE/Alu,SINE,Alu,7748,10,No,H3K4me1,6.17897979608262,0,4.72129920810125
Alu,2.76434832158689,-5.61831744929375,SINE/Alu,SINE,Alu,7748,10,No,H3K4me3,5.81692293649334,0,13.3180648522248
Alu,2.76434832158689,-5.61831744929375,SINE/Alu,SINE,Alu,7748,10,No,H3K9me3,34.8336656208071,1,-1.27499771846606
AluJb,2.86707387555665,-6.10610240146814,SINE/Alu,SINE,Alu,117273,55,No,H3K27ac,2.22228011181825,0,17.931674510712
AluJb,2.86707387555665,-6.10610240146814,SINE/Alu,SINE,Alu,117273,55,No,H3K27me3,3.19025053720325,1,-2.15845920712061
AluJb,2.86707387555665,-6.10610240146814,SINE/Alu,SINE,Alu,117273,55,No,H3K36me3,2.78792523558245,0,10.0849698202578
AluJb,2.86707387555665,-6.10610240146814,SINE/Alu,SINE,Alu,117273,55,No,H3K4me1,2.54120268741857,0,17.2473839234942
AluJb,2.86707387555665,-6.10610240146814,SINE/Alu,SINE,Alu,117273,55,No,H3K4me3,3.49949369630686,0,25.5357604858455
AluJb,2.86707387555665,-6.10610240146814,SINE/Alu,SINE,Alu,117273,55,No,H3K9me3,5.05874552820913,0,-2.44550974298594
AluJo,2.73314800570283,-5.64905013203094,SINE/Alu,SINE,Alu,45868,53,No,H3K27ac,3.02454537815597,0,7.79915228581538
AluJo,2.73314800570283,-5.64905013203094,SINE/Alu,SINE,Alu,45868,53,No,H3K27me3,6.68519780801463,1,-0.636214190594228
AluJo,2.73314800570283,-5.64905013203094,SINE/Alu,SINE,Alu,45868,53,No,H3K36me3,4.93785070614199,0,12.3481048057696
AluJo,2.73314800570283,-5.64905013203094,SINE/Alu,SINE,Alu,45868,53,No,H3K4me1,3.67823484732465,0,7.00391156348402
AluJo,2.73314800570283,-5.64905013203094,SINE/Alu,SINE,Alu,45868,53,No,H3K4me3,4.86036002129821,0,4.79485474318162
AluJo,2.73314800570283,-5.64905013203094,SINE/Alu,SINE,Alu,45868,53,No,H3K9me3,9.96549519005414,0.000179060785909164,-2.1691554859086
AluJr,2.83760899072172,-6.01005781262396,SINE/Alu,SINE,Alu,114124,56,No,H3K27ac,2.12658245629735,0,6.31761040742124
AluJr,2.83760899072172,-6.01005781262396,SINE/Alu,SINE,Alu,114124,56,No,H3K27me3,6.39585322687517,1,-2.29003629005826
AluJr,2.83760899072172,-6.01005781262396,SINE/Alu,SINE,Alu,114124,56,No,H3K36me3,4.77558092200198,0,14.1160752815138
AluJr,2.83760899072172,-6.01005781262396,SINE/Alu,SINE,Alu,114124,56,No,H3K4me1,3.099763827732,0,6.08990410263154
AluJr,2.83760899072172,-6.01005781262396,SINE/Alu,SINE,Alu,114124,56,No,H3K4me3,3.13609710251941,0,-12.4639833700923
AluJr,2.83760899072172,-6.01005781262396,SINE/Alu,SINE,Alu,114124,56,No,H3K9me3,10.1941530786703,1.24232399672639e-81,-2.83225592384782
AluJr4,3.04696771322835,-3.37625797597866,SINE/Alu,SINE,Alu,12307,56,No,H3K27ac,2.04850143950488,0.999753942555681,-1.10286966533897
AluJr4,3.04696771322835,-3.37625797597866,SINE/Alu,SINE,Alu,12307,56,No,H3K27me3,14.5944661305374,1,-1.43694837977834
AluJr4,3.04696771322835,-3.37625797597866,SINE/Alu,SINE,Alu,12307,56,No,H3K36me3,9.39778393342545,0,16.5825563236
AluJr4,3.04696771322835,-3.37625797597866,SINE/Alu,SINE,Alu,12307,56,No,H3K4me1,4.70637647258788,2.80980958080542e-97,-0.057689563195055
AluJr4,3.04696771322835,-3.37625797597866,SINE/Alu,SINE,Alu,12307,56,No,H3K4me3,2.83114908203051,1,-17.9495414426228
AluJr4,3.04696771322835,-3.37625797597866,SINE/Alu,SINE,Alu,12307,56,No,H3K9me3,22.6314412643278,1,0.0366864752004416
AluSc,2.80042047447445,-5.88131856154032,SINE/Alu,SINE,Alu,37679,24,No,H3K27ac,2.9085559151634,0,6.60670885477091
AluSc,2.80042047447445,-5.88131856154032,SINE/Alu,SINE,Alu,37679,24,No,H3K27me3,9.53898396896038,1,-3.11271715898391
AluSc,2.80042047447445,-5.88131856154032,SINE/Alu,SINE,Alu,37679,24,No,H3K36me3,5.98063543431962,0,2.64730736256198
AluSc,2.80042047447445,-5.88131856154032,SINE/Alu,SINE,Alu,37679,24,No,H3K4me1,3.78799523242842,0,2.91038058903395
AluSc,2.80042047447445,-5.88131856154032,SINE/Alu,SINE,Alu,37679,24,No,H3K4me3,5.58287963897109,0,15.6649758464495
AluSc,2.80042047447445,-5.88131856154032,SINE/Alu,SINE,Alu,37679,24,No,H3K9me3,14.6629667107422,8.71350858969088e-24,-0.21943926227224
AluSc5,2.62632276624552,-5.10444536979533,SINE/Alu,SINE,Alu,4143,23,No,H3K27ac,3.64163350948284,0,1.50922352206005
AluSc5,2.62632276624552,-5.10444536979533,SINE/Alu,SINE,Alu,4143,23,No,H3K27me3,17.0871755348769,1,-0.652022100063494
AluSc5,2.62632276624552,-5.10444536979533,SINE/Alu,SINE,Alu,4143,23,No,H3K36me3,9.34710563519111,5.22360114781349e-124,0.240301827962319
AluSc5,2.62632276624552,-5.10444536979533,SINE/Alu,SINE,Alu,4143,23,No,H3K4me1,5.91831783148508,0,1.83612008713967
AluSc5,2.62632276624552,-5.10444536979533,SINE/Alu,SINE,Alu,4143,23,No,H3K4me3,6.32849147708898,0,-1.09681512656758
AluSc5,2.62632276624552,-5.10444536979533,SINE/Alu,SINE,Alu,4143,23,No,H3K9me3,24.2756424448922,1,-0.739821275050562
AluSc8,2.83635634154813,-5.92748752629439,SINE/Alu,SINE,Alu,20437,24,No,H3K27ac,2.85117459753531,0,6.88982909944412
AluSc8,2.83635634154813,-5.92748752629439,SINE/Alu,SINE,Alu,20437,24,No,H3K27me3,6.51200772508706,1,-3.03096775554707
AluSc8,2.83635634154813,-5.92748752629439,SINE/Alu,SINE,Alu,20437,24,No,H3K36me3,4.2719683772562,0,2.86062432483344
AluSc8,2.83635634154813,-5.92748752629439,SINE/Alu,SINE,Alu,20437,24,No,H3K4me1,3.19857888386628,0,2.8434741290458
AluSc8,2.83635634154813,-5.92748752629439,SINE/Alu,SINE,Alu,20437,24,No,H3K4me3,5.97809519159495,0,19.9025923253677
AluSc8,2.83635634154813,-5.92748752629439,SINE/Alu,SINE,Alu,20437,24,No,H3K9me3,9.96723045931111,0.195081980871197,-0.497344166569902
AluSg,2.8110408212641,-5.91680762376307,SINE/Alu,SINE,Alu,42580,26,No,H3K27ac,3.61755598133006,0,14.2286876762661
AluSg,2.8110408212641,-5.91680762376307,SINE/Alu,SINE,Alu,42580,26,No,H3K27me3,7.28669498923801,1,-2.37298654463369
AluSg,2.8110408212641,-5.91680762376307,SINE/Alu,SINE,Alu,42580,26,No,H3K36me3,4.68736177976003,0,4.30150040460124
AluSg,2.8110408212641,-5.91680762376307,SINE/Alu,SINE,Alu,42580,26,No,H3K4me1,3.80843708881922,0,9.30827580461886
AluSg,2.8110408212641,-5.91680762376307,SINE/Alu,SINE,Alu,42580,26,No,H3K4me3,7.7085859182045,0,33.5764098480711
AluSg,2.8110408212641,-5.91680762376307,SINE/Alu,SINE,Alu,42580,26,No,H3K9me3,10.832389711827,1,-0.998057448606006
AluSg4,2.7162282708884,-5.46302293774553,SINE/Alu,SINE,Alu,11821,26,No,H3K27ac,3.38257744391345,0,6.29815453673894
AluSg4,2.7162282708884,-5.46302293774553,SINE/Alu,SINE,Alu,11821,26,No,H3K27me3,10.2133490767237,1,-1.02308983580365
AluSg4,2.7162282708884,-5.46302293774553,SINE/Alu,SINE,Alu,11821,26,No,H3K36me3,6.24497928607496,0,2.61695397602514
AluSg4,2.7162282708884,-5.46302293774553,SINE/Alu,SINE,Alu,11821,26,No,H3K4me1,4.13195667500691,0,4.13471421984509
AluSg4,2.7162282708884,-5.46302293774553,SINE/Alu,SINE,Alu,11821,26,No,H3K4me3,6.7799749835351,0,12.1720631757733
AluSg4,2.7162282708884,-5.46302293774553,SINE/Alu,SINE,Alu,11821,26,No,H3K9me3,16.0383550216097,1,-0.189543960919069
AluSg7,2.74378353049327,-5.45595926131831,SINE/Alu,SINE,Alu,5829,23,No,H3K27ac,5.41275054141125,0,12.517731796508
AluSg7,2.74378353049327,-5.45595926131831,SINE/Alu,SINE,Alu,5829,23,No,H3K27me3,8.99195477493677,1,-1.0709107323709
AluSg7,2.74378353049327,-5.45595926131831,SINE/Alu,SINE,Alu,5829,23,No,H3K36me3,5.33192195074571,0,2.34296030515399
AluSg7,2.74378353049327,-5.45595926131831,SINE/Alu,SINE,Alu,5829,23,No,H3K4me1,5.0617839238348,0,5.99832350444545
AluSg7,2.74378353049327,-5.45595926131831,SINE/Alu,SINE,Alu,5829,23,No,H3K4me3,12.852032653469,0,29.7407582932046
AluSg7,2.74378353049327,-5.45595926131831,SINE/Alu,SINE,Alu,5829,23,No,H3K9me3,12.5327049016219,1,-0.321183299009242
AluSp,2.87366508827021,-6.10519304698327,SINE/Alu,SINE,Alu,64572,23,No,H3K27ac,2.64986291293767,0,21.0176843381918
AluSp,2.87366508827021,-6.10519304698327,SINE/Alu,SINE,Alu,64572,23,No,H3K27me3,4.09076448729615,1,-5.47159810140745
AluSp,2.87366508827021,-6.10519304698327,SINE/Alu,SINE,Alu,64572,23,No,H3K36me3,3.08406485845039,0,7.32237415359741
AluSp,2.87366508827021,-6.10519304698327,SINE/Alu,SINE,Alu,64572,23,No,H3K4me1,2.60447410839481,0,10.7003924005762
AluSp,2.87366508827021,-6.10519304698327,SINE/Alu,SINE,Alu,64572,23,No,H3K4me3,5.02815638228844,0,48.0559176508081
AluSp,2.87366508827021,-6.10519304698327,SINE/Alu,SINE,Alu,64572,23,No,H3K9me3,6.14962916397537,2.80797732307613e-106,-3.08812021702881
