	n_i	n_T.te	n_T.peak	expected	fc.expected	comparison	padj.final	significance
L2b	1148	91943	3633	77.86	14.6	te_in_peak	0	****
L2d	275	27881	3633	23.61	11.2	te_in_peak	3.03e-184	****
L2c	1139	126360	3633	107.0	10.6	te_in_peak	0	****
L2d2	329	52674	3633	44.6	7.2	te_in_peak	3.46e-162	****
MIR1_Amn	36	11716	3633	9.92	3.4	te_in_peak	1.72e-08	****
MER34C2	3	484	3633	0.41	2.8	te_in_peak	0.826	n.s
L2a	395	166340	3633	140.86	2.8	te_in_peak	1.84e-66	****
LTR47A	3	644	3633	0.55	2.6	te_in_peak	1	n.s
Charlie22a	4	1112	3633	0.94	2.6	te_in_peak	1	n.s
MamRep4096	4	1259	3633	1.07	2.4	te_in_peak	1	n.s
Tigger1a_Art	2	302	3633	0.26	2.4	te_in_peak	1	n.s
Eutr5	2	394	3633	0.33	2.3	te_in_peak	1	n.s
MIRb	402	223887	3633	189.59	2.1	te_in_peak	7.12e-39	****
LTR16C	13	6578	3633	5.57	2.1	te_in_peak	0.525	n.s
MER34C_	2	540	3633	0.46	2.1	te_in_peak	1	n.s
ORSL	3	1214	3633	1.03	2.0	te_in_peak	1	n.s
MER121B	1	68	3633	0.06	1.9	te_in_peak	1	n.s
MER113	7	3734	3633	3.16	1.9	te_in_peak	1	n.s
Eutr18	2	675	3633	0.57	1.9	te_in_peak	1	n.s
MIR3	134	87870	3633	74.41	1.8	te_in_peak	3.87e-08	****
HERVK13-int	1	40	3633	0.14	1.8	peak_in_te	1	n.s
MLT1C-int	1	101	3633	0.1	1.8	peak_in_te	1	n.s
MamRep1879	3	1484	3633	1.26	1.8	te_in_peak	1	n.s
MLT1E2-int	1	114	3633	0.12	1.8	peak_in_te	1	n.s
MIRc	155	100994	3633	85.52	1.8	te_in_peak	1.41e-09	****
MER4CL34	2	800	3633	0.68	1.8	te_in_peak	1	n.s
MER45A	6	3468	3633	2.94	1.8	te_in_peak	1	n.s
LTR31	1	240	3633	0.2	1.7	te_in_peak	1	n.s
MER66D	1	205	3633	0.17	1.7	te_in_peak	1	n.s
MIR	255	174396	3633	147.68	1.7	te_in_peak	1.25e-13	****
MER53	9	5855	3633	4.96	1.7	te_in_peak	1	n.s
MER102a	5	3028	3633	2.56	1.7	te_in_peak	1	n.s
EUTREP8	1	275	3633	0.23	1.6	te_in_peak	1	n.s
Helitron1Na_Mam	1	326	3633	0.28	1.6	te_in_peak	1	n.s
MER107	1	337	3633	0.29	1.6	te_in_peak	1	n.s
LTR75	1	289	3633	0.24	1.6	te_in_peak	1	n.s
Charlie10b	1	273	3633	0.23	1.6	te_in_peak	1	n.s
MamTip1b	1	440	3633	0.37	1.5	te_in_peak	1	n.s
LTR107_Mam	1	423	3633	0.36	1.5	te_in_peak	1	n.s
MER41E	1	356	3633	0.3	1.5	te_in_peak	1	n.s
X2a_DNA	1	412	3633	0.35	1.5	te_in_peak	1	n.s
Tigger5b	4	2766	3633	2.34	1.5	te_in_peak	1	n.s
EUTREP16	1	411	3633	0.35	1.5	te_in_peak	1	n.s
Charlie4a	4	2852	3633	2.42	1.5	te_in_peak	1	n.s
ORSL-2a	1	367	3633	0.31	1.5	te_in_peak	1	n.s
MER70B	1	423	3633	0.36	1.5	te_in_peak	1	n.s
MER68B	1	412	3633	0.35	1.5	te_in_peak	1	n.s
MER102c	4	3112	3633	2.64	1.4	te_in_peak	1	n.s
Charlie30a	1	457	3633	0.39	1.4	te_in_peak	1	n.s
MamRep38	3	2128	3633	1.8	1.4	te_in_peak	1	n.s
LTR16B	1	571	3633	0.48	1.4	te_in_peak	1	n.s
MER66C	1	519	3633	0.44	1.4	te_in_peak	1	n.s
LTR86A1	1	529	3633	0.45	1.4	te_in_peak	1	n.s
Zaphod	3	2282	3633	1.93	1.4	te_in_peak	1	n.s
Charlie16a	2	1410	3633	1.19	1.4	te_in_peak	1	n.s
MER96	2	1274	3633	1.08	1.4	te_in_peak	1	n.s
MER91C	2	1637	3633	1.39	1.3	te_in_peak	1	n.s
Charlie4z	7	5940	3633	5.03	1.3	te_in_peak	1	n.s
Kanga1d	1	664	3633	0.56	1.3	te_in_peak	1	n.s
FordPrefect	1	599	3633	0.51	1.3	te_in_peak	1	n.s
MER6B	1	676	3633	0.57	1.3	te_in_peak	1	n.s
Tigger3d	1	636	3633	0.54	1.3	te_in_peak	1	n.s
MER5C1	1	617	3633	0.52	1.3	te_in_peak	1	n.s
SVA_E	1	686	3633	0.58	1.3	te_in_peak	1	n.s
MamRep137	3	2459	3633	2.08	1.3	te_in_peak	1	n.s
LOR1a	1	702	3633	0.59	1.3	te_in_peak	1	n.s
Charlie16	2	1464	3633	1.24	1.3	te_in_peak	1	n.s
MER4E	1	668	3633	0.57	1.3	te_in_peak	1	n.s
X9_LINE	1	653	3633	0.55	1.3	te_in_peak	1	n.s
AmnSINE2	1	667	3633	0.56	1.3	te_in_peak	1	n.s
Zaphod2	1	844	3633	0.71	1.2	te_in_peak	1	n.s
Tigger12c	1	859	3633	0.73	1.2	te_in_peak	1	n.s
MER5B	26	24966	3633	21.14	1.2	te_in_peak	1	n.s
MER106B	1	827	3633	0.7	1.2	te_in_peak	1	n.s
MLT1E	1	812	3633	0.69	1.2	te_in_peak	1	n.s
MER106A	1	742	3633	0.63	1.2	te_in_peak	1	n.s
MER50-int	1	375	3633	0.69	1.2	peak_in_te	1	n.s
ORSL-2b	1	709	3633	0.6	1.2	te_in_peak	1	n.s
MamGypLTR1d	1	748	3633	0.63	1.2	te_in_peak	1	n.s
Arthur1C	1	710	3633	0.6	1.2	te_in_peak	1	n.s
Charlie4	1	917	3633	0.78	1.1	te_in_peak	1	n.s
MER113A	2	2067	3633	1.75	1.1	te_in_peak	1	n.s
MLT1K	16	16386	3633	13.88	1.1	te_in_peak	1	n.s
Charlie8	4	4378	3633	3.71	1.1	te_in_peak	1	n.s
X6B_LINE	1	875	3633	0.74	1.1	te_in_peak	1	n.s
LTR32	1	970	3633	0.82	1.1	te_in_peak	1	n.s
MER117	4	4370	3633	3.7	1.1	te_in_peak	1	n.s
X6a_DNA	1	979	3633	0.83	1.1	te_in_peak	1	n.s
MamTip2	5	5239	3633	4.44	1.1	te_in_peak	1	n.s
LTR48B	1	942	3633	0.8	1.1	te_in_peak	1	n.s
L3b	9	9560	3633	8.1	1.1	te_in_peak	1	n.s
Charlie15a	3	3213	3633	2.72	1.1	te_in_peak	1	n.s
MER85	1	902	3633	0.76	1.1	te_in_peak	1	n.s
LTR10B2	0	56	3633	0.05	1.0	te_in_peak	1	n.s
