	n_i	n_T.te	n_T.peak	expected	fc.expected	comparison	padj.final	significance
L2c	111	12286	4692	10.44	9.8	te_in_peak	4.89e-69	****
L2b	120	13764	4692	11.7	9.5	te_in_peak	8.92e-73	****
RLTR13D3	3	254	4692	0.31	3.1	peak_in_te	0.506	n.s
B1_Mm	110	42388	4692	36.03	3.0	te_in_peak	4.41e-20	****
RLTR41|RLTR41	2	50	4692	0.04	2.9	te_in_peak	0.236	n.s
MTEb-int|MTEb-int|MTEb-int|MTEb	2	10	4692	0.02	2.9	peak_in_te	0.0481	*
B1_Mus2	175	70580	4692	59.99	2.9	te_in_peak	3.48e-30	****
RMER10B|RMER10B	3	470	4692	0.4	2.9	te_in_peak	1	n.s
B2_Mm1a	45	18355	4692	15.6	2.8	te_in_peak	9.53e-07	****
B1_Mus1	209	93739	4692	79.68	2.6	te_in_peak	2.86e-30	****
RLTR9D2	2	165	4692	0.14	2.6	te_in_peak	1	n.s
RMER15|RMER15|RMER15	2	158	4692	0.16	2.6	peak_in_te	1	n.s
LTR31	2	197	4692	0.17	2.6	te_in_peak	1	n.s
Tigger15a	3	700	4692	0.59	2.5	te_in_peak	1	n.s
MER91B	2	232	4692	0.2	2.5	te_in_peak	1	n.s
RMER21B	3	721	4692	0.61	2.5	te_in_peak	1	n.s
MLTR18B_MM	2	320	4692	0.27	2.4	te_in_peak	1	n.s
MER20B	3	819	4692	0.7	2.4	te_in_peak	1	n.s
PB1	28	13808	4692	11.74	2.3	te_in_peak	0.0139	*
PB1D9	59	29297	4692	24.9	2.3	te_in_peak	3.2e-06	****
B1_Mur4	72	40534	4692	34.45	2.1	te_in_peak	9.39e-06	****
RMER10B	5	2114	4692	1.8	2.1	te_in_peak	1	n.s
RMER10A	7	3365	4692	2.86	2.1	te_in_peak	1	n.s
ID	15	7900	4692	6.71	2.1	te_in_peak	0.648	n.s
RLTR9A3	2	512	4692	0.44	2.1	te_in_peak	1	n.s
ERVB5_1-I_MM-int|ERVB5_1-I_MM-int|ERVB5_1-I_MM-int|ERVB5_1-LTR_MM	1	2	4692	0.01	2.0	peak_in_te	1	n.s
RMER3D-int|RMER3D-int|RMER3D-int|RMER3D-int|RLTR17	1	3	4692	0.01	2.0	peak_in_te	0.889	n.s
MMERVK9E_I-int|RLTR9A|RLTR9A	1	3	4692	0.0	2.0	peak_in_te	0.53	n.s
ORR1B1|ORR1B1-int|ORR1B1-int|ORR1B1|ORR1B1-int|ORR1B1-int|ORR1B1	1	2	4692	0.01	2.0	peak_in_te	0.889	n.s
MLT1H2-int|MLT1H2-int|MLT1H2-int|MLT1H2	1	3	4692	0.0	2.0	peak_in_te	0.53	n.s
MMERGLN-int|RLTR1B|MMERGLN-int|MMERGLN-int|MMERGLN-int|MMERGLN-int	1	1	4692	0.0	2.0	peak_in_te	0.53	n.s
ORR1D2|ORR1D2	3	1209	4692	1.03	2.0	te_in_peak	1	n.s
ID_B1	193	111269	4692	94.58	2.0	te_in_peak	5.32e-16	****
RLTR24	3	1232	4692	1.05	2.0	te_in_peak	1	n.s
MTEa|MTEa-int|MTEa-int|MTEa-int|MTEa-int|MTEa|MTEa	1	2	4692	0.01	2.0	peak_in_te	0.889	n.s
MMERVK9E_I-int|MMERVK9E_I-int|RLTR9A3	1	10	4692	0.01	2.0	peak_in_te	1	n.s
MYSERV16_I-int|BGLII_B|BGLII_B	1	2	4692	0.0	2.0	peak_in_te	0.53	n.s
MLTR31FA_MM|RMER3D-int|MLTR31FA_MM|MLTR31FA_MM	1	1	4692	0.0	2.0	peak_in_te	0.53	n.s
MTB_Mm-int	1	19	4692	0.02	2.0	te_in_peak	1	n.s
IAPA_MM-int|IAPLTR2a	1	8	4692	0.01	2.0	peak_in_te	0.889	n.s
RLTR13A1|ETnERV3-int|ETnERV3-int|ETnERV3-int|ETnERV3-int|RLTR13A1	1	1	4692	0.01	2.0	peak_in_te	1	n.s
ERVL-B4-int|ERVL-B4-int|ERVL-B4-int|ERVL-B4-int|ERVL-B4-int|ERVL-B4-int|ERVL-B4-int	1	3	4692	0.01	2.0	peak_in_te	1	n.s
MMERVK9C_I-int|MMERVK9C_I-int|MMERVK9C_I-int|MMERVK9C_I-int|RLTR9E	1	2	4692	0.01	2.0	peak_in_te	0.889	n.s
MMETn-int|RLTR13G|RLTRETN_Mm	1	9	4692	0.02	2.0	peak_in_te	1	n.s
ORR1B2|ORR1B2-int|ORR1B2|ORR1B2	1	8	4692	0.02	2.0	peak_in_te	1	n.s
MTC-int|MTC|MTC|MTC-int	1	2	4692	0.0	2.0	peak_in_te	0.53	n.s
RLTR9E|RLTR13E|MMERVK9C_I-int|MMERVK9C_I-int|MMERVK9C_I-int|RLTR9E	1	1	4692	0.01	2.0	peak_in_te	0.889	n.s
RMER21A	2	598	4692	0.51	2.0	te_in_peak	1	n.s
B2_Mm1t	40	23115	4692	19.65	2.0	te_in_peak	0.014	*
RMER21B|RodERV21-int	1	11	4692	0.01	2.0	peak_in_te	1	n.s
B1_Mur3	44	24657	4692	20.96	2.0	te_in_peak	0.00351	**
B1_Mur2	56	31822	4692	27.05	2.0	te_in_peak	0.000405	***
RMER21B|RMER4B|RodERV21-int	1	4	4692	0.0	2.0	peak_in_te	0.53	n.s
RMER16|RMER16|RMER16	1	16	4692	0.02	2.0	peak_in_te	1	n.s
B1_Mur1	62	37989	4692	32.29	1.9	te_in_peak	0.00111	**
RLTR9E|MMERVK9C_I-int|MMERVK9C_I-int	1	7	4692	0.03	1.9	peak_in_te	1	n.s
ORR1A4|ORR1A4-int|MT2B	1	16	4692	0.04	1.9	peak_in_te	1	n.s
MTC|MTC|MTC|MTC	1	30	4692	0.04	1.9	peak_in_te	1	n.s
RLTR9D|RLTR9D	1	45	4692	0.05	1.9	peak_in_te	1	n.s
ERVL-E-int	2	662	4692	0.56	1.9	te_in_peak	1	n.s
ORR1A2|ORR1A2|ORR1A2	1	41	4692	0.04	1.9	peak_in_te	1	n.s
RLTR13D3|RLTR13D3	1	27	4692	0.04	1.9	peak_in_te	1	n.s
ERVB4_1-I_MM-int|ERVB4_1-I_MM-int	1	13	4692	0.07	1.9	peak_in_te	1	n.s
UCON7	1	96	4692	0.08	1.9	te_in_peak	1	n.s
RLTR9E|MMERVK9C_I-int|MMERVK9C_I-int|MMERVK9C_I-int|RLTR13E|RLTR9E	1	3	4692	0.03	1.9	peak_in_te	1	n.s
HERVL40-int|HERVL40-int	1	23	4692	0.03	1.9	peak_in_te	1	n.s
ORR1B1-int|ORR1B1-int|ORR1B1|ORR1B1	1	10	4692	0.03	1.9	peak_in_te	1	n.s
ORR1D1|ORR1D1|ORR1D1-int|ORR1D1-int	1	14	4692	0.03	1.9	peak_in_te	1	n.s
L2a	40	24364	4692	20.71	1.9	te_in_peak	0.0374	*
ORR1D1|ORR1D1|ORR1D1|ORR1D1	1	24	4692	0.03	1.9	peak_in_te	1	n.s
MER31A	2	704	4692	0.6	1.9	te_in_peak	1	n.s
BGLII_B|MYSERV16_I-int	1	29	4692	0.06	1.9	peak_in_te	1	n.s
ORR1E|ORR1E|ORR1E	1	112	4692	0.11	1.8	peak_in_te	1	n.s
RLTR9A2	1	169	4692	0.14	1.8	te_in_peak	1	n.s
PB1D10	113	72993	4692	62.04	1.8	te_in_peak	3.34e-06	****
MTEa|MTEa|MTEa	1	131	4692	0.13	1.8	peak_in_te	1	n.s
MIR3	26	16119	4692	13.7	1.8	te_in_peak	0.402	n.s
Eulor8	1	110	4692	0.09	1.8	te_in_peak	1	n.s
RLTR41C	1	152	4692	0.13	1.8	te_in_peak	1	n.s
RMER4B|RMER4B|RMER4B	1	83	4692	0.1	1.8	peak_in_te	1	n.s
L1ME3	3	1494	4692	1.27	1.8	te_in_peak	1	n.s
ERVL-B4-int|ERVL-B4-int|ERVL-B4-int	1	49	4692	0.1	1.8	peak_in_te	1	n.s
MMERVK9C_I-int|MMERVK9C_I-int|MMERVK9C_I-int	1	29	4692	0.11	1.8	peak_in_te	1	n.s
MER54B	1	114	4692	0.1	1.8	te_in_peak	1	n.s
RLTR23|RLTR23	1	124	4692	0.11	1.8	te_in_peak	1	n.s
LTR65	1	164	4692	0.14	1.8	te_in_peak	1	n.s
RLTR26|RLTR26	1	118	4692	0.12	1.8	peak_in_te	1	n.s
MTD|MTD	8	4604	4692	3.91	1.8	te_in_peak	1	n.s
ORR1D1-int	1	149	4692	0.13	1.8	te_in_peak	1	n.s
IAPLTR1a_Mm	1	135	4692	0.11	1.8	te_in_peak	1	n.s
RMER6A|RMER6A	2	555	4692	0.66	1.8	peak_in_te	1	n.s
MMERVK9E_I-int|RLTR9E	1	41	4692	0.09	1.8	peak_in_te	1	n.s
ORR1D1|ORR1D1	5	2757	4692	2.34	1.8	te_in_peak	1	n.s
Kanga1b	1	122	4692	0.1	1.8	te_in_peak	1	n.s
X7B_LINE	1	155	4692	0.13	1.8	te_in_peak	1	n.s
MTE2b|MTE2b	3	1424	4692	1.21	1.8	te_in_peak	1	n.s
RLTR9B2	1	126	4692	0.11	1.8	te_in_peak	1	n.s
