File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF489GFM	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR700LWI	Histone ChIP-seq	/human-donors/ENCDO736MLL/	UBERON:0001003	skin epidermis	tissue	Homo sapiens										H3K27ac-human	DNA						2020-09-10	ENCODE		sonication (generic)	200-600	1	1_1							/files/ENCFF698MSL/, /files/ENCFF964IHK/, /files/ENCFF356LFX/	1670808	ENCODE Processing Pipeline	a333fb3fbc73144c931f4ecb4691e2e1		https://www.encodeproject.org/files/ENCFF489GFM/@@download/ENCFF489GFM.bed.gz				released	s3://encode-public/2020/07/23/bb3ff910-2821-4725-9e6f-b86262a1dfeb/ENCFF489GFM.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/07/23/bb3ff910-2821-4725-9e6f-b86262a1dfeb/ENCFF489GFM.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.0 GRCh38	released			
ENCFF927GAF	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR436JNB	Histone ChIP-seq	/human-donors/ENCDO186XRB/	UBERON:0002106	spleen	tissue	Homo sapiens										H3K27ac-human	DNA						2021-06-24	ENCODE			200-600	1	1_1, 1_2							/files/ENCFF356LFX/, /files/ENCFF858KWR/, /files/ENCFF699DSL/	1418563	ENCODE Processing Pipeline	89035df6939b43481cd9e00900168878		https://www.encodeproject.org/files/ENCFF927GAF/@@download/ENCFF927GAF.bed.gz				released	s3://encode-public/2021/06/23/7c3bfef8-b234-4de5-85e1-fd6e9b2aad5f/ENCFF927GAF.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/06/23/7c3bfef8-b234-4de5-85e1-fd6e9b2aad5f/ENCFF927GAF.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released			
ENCFF029PZQ	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR978BQI	Histone ChIP-seq	/human-donors/ENCDO354AAA/	EFO:0005719	Karpas-422	cell line	Homo sapiens										H3K9me3-human	DNA						2014-07-11	ENCODE		sonication (generic)	200-600, 300-700	1, 2	1_1, 2_1							/files/ENCFF688XVB/, /files/ENCFF339RHR/, /files/ENCFF356LFX/, /files/ENCFF359MJV/, /files/ENCFF043QVF/	3242543	ENCODE Processing Pipeline	8496da7c97caeb28560390910b4bbb7c		https://www.encodeproject.org/files/ENCFF029PZQ/@@download/ENCFF029PZQ.bed.gz				released	s3://encode-public/2020/11/12/d5ce899d-0a1c-482e-8c9d-d81cbfd9dbf9/ENCFF029PZQ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/12/d5ce899d-0a1c-482e-8c9d-d81cbfd9dbf9/ENCFF029PZQ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, mixed read lengths		
ENCFF497BBM	bed narrowPeak	bed	narrowPeak	replicated peaks	GRCh38	ENCSR277WTO	Histone ChIP-seq	/human-donors/ENCDO460ZVO/, /human-donors/ENCDO269ABJ/	CL:0000084	T-cell	primary cell	Homo sapiens										H3K27me3-human	DNA						2013-07-31	Roadmap				1, 3	1_1, 3_1							/files/ENCFF356LFX/, /files/ENCFF601BYU/, /files/ENCFF183BQA/, /files/ENCFF883WRZ/	400064	ENCODE Processing Pipeline	9db7ebc1d1c779ed93b2c91843e9abf8		https://www.encodeproject.org/files/ENCFF497BBM/@@download/ENCFF497BBM.bed.gz				released	s3://encode-public/2021/01/30/af391ed9-57c0-4848-ad98-a8e806d69ccf/ENCFF497BBM.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/01/30/af391ed9-57c0-4848-ad98-a8e806d69ccf/ENCFF497BBM.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.7.0 GRCh38	released	mixed read lengths	control insufficient read depth, insufficient read depth	extremely low read depth
ENCFF598AFF	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR113FMX	Histone ChIP-seq	/human-donors/ENCDO139RPR/, /human-donors/ENCDO727HSS/	CL:0000084	T-cell	primary cell	Homo sapiens										H3K4me1-human	DNA						2013-07-31	Roadmap				1, 2	1_1, 2_1							/files/ENCFF280QBS/, /files/ENCFF356LFX/, /files/ENCFF926XCT/, /files/ENCFF504BDF/	1840029	ENCODE Processing Pipeline	17130fab9376cfa156dbf4956f8b59b5		https://www.encodeproject.org/files/ENCFF598AFF/@@download/ENCFF598AFF.bed.gz				released	s3://encode-public/2021/02/12/e52354b8-770a-4cd6-9ed2-1b78cbf669f6/ENCFF598AFF.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/12/e52354b8-770a-4cd6-9ed2-1b78cbf669f6/ENCFF598AFF.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.7.0 GRCh38	released	low read length, mixed read lengths	insufficient read depth	extremely low read depth
ENCFF876NSG	bed narrowPeak	bed	narrowPeak	replicated peaks	GRCh38	ENCSR038KST	Histone ChIP-seq	/human-donors/ENCDO575WHY/	UBERON:0002369	adrenal gland	tissue	Homo sapiens										H3K4me1-human	DNA						2021-05-06	ENCODE			200-600	1, 2	1_1, 1_2, 2_1, 2_2							/files/ENCFF293XEG/, /files/ENCFF350GVO/, /files/ENCFF356LFX/, /files/ENCFF181GJG/, /files/ENCFF875EYI/	2520150	ENCODE Processing Pipeline	1c5451fb9a4df86b7bf14c05fe8e6946		https://www.encodeproject.org/files/ENCFF876NSG/@@download/ENCFF876NSG.bed.gz				released	s3://encode-public/2021/04/10/7d60d6d1-8439-443a-a858-41f7462cf732/ENCFF876NSG.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/04/10/7d60d6d1-8439-443a-a858-41f7462cf732/ENCFF876NSG.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released			
ENCFF816NIJ	bed narrowPeak	bed	narrowPeak	replicated peaks	GRCh38	ENCSR886FKD	Histone ChIP-seq	/human-donors/ENCDO575WHY/	UBERON:0002369	adrenal gland	tissue	Homo sapiens										H3K9me3-human	DNA						2021-05-06	ENCODE			200-600	1, 2	1_1, 1_2, 2_1, 2_2							/files/ENCFF350GVO/, /files/ENCFF875EYI/, /files/ENCFF478JZC/, /files/ENCFF356LFX/, /files/ENCFF371RMR/	246733	ENCODE Processing Pipeline	aee3bf0bedb4b6bec243b44ab27ea89d		https://www.encodeproject.org/files/ENCFF816NIJ/@@download/ENCFF816NIJ.bed.gz				released	s3://encode-public/2021/04/28/78f8f64d-8454-433e-80e0-c1f58f84e04a/ENCFF816NIJ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/04/28/78f8f64d-8454-433e-80e0-c1f58f84e04a/ENCFF816NIJ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released			
ENCFF948FXU	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR975GZA	Histone ChIP-seq	/human-donors/ENCDO000ABD/	EFO:0003072	SK-N-SH	cell line	Homo sapiens										H3K4me3-human	DNA						2016-10-19	ENCODE		sonication (generic), shearing (Covaris generic)	200-600	1, 2	1_1, 2_1							/files/ENCFF966ORL/, /files/ENCFF459LLN/, /files/ENCFF356LFX/, /files/ENCFF892RSY/, /files/ENCFF873BRD/	1019523	ENCODE Processing Pipeline	de0c0e40246ea074c56371bc6275826d		https://www.encodeproject.org/files/ENCFF948FXU/@@download/ENCFF948FXU.bed.gz				released	s3://encode-public/2023/01/21/ef74f5da-6aac-47c9-83b9-141438930ab8/ENCFF948FXU.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2023/01/21/ef74f5da-6aac-47c9-83b9-141438930ab8/ENCFF948FXU.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.1 GRCh38	released	low read depth		
ENCFF756WJX	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR875QDS	Histone ChIP-seq	/human-donors/ENCDO592CQV/	EFO:0007098	iPS DF 6.9	cell line	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF600JCD/, /files/ENCFF356LFX/, /files/ENCFF052YQP/	70585	ENCODE Processing Pipeline	bed82bfd8bced46c06e269d0acc1fcca		https://www.encodeproject.org/files/ENCFF756WJX/@@download/ENCFF756WJX.bed.gz				released	s3://encode-public/2020/10/10/d87b12fc-fb36-4981-ba0e-7bdb0add15e2/ENCFF756WJX.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/10/d87b12fc-fb36-4981-ba0e-7bdb0add15e2/ENCFF756WJX.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read length, control low read depth		
ENCFF331VLX	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR855XNQ	Histone ChIP-seq	/human-donors/ENCDO793LXB/	UBERON:0002046	thyroid gland	tissue	Homo sapiens										H3K36me3-human	DNA						2016-11-07	ENCODE		sonication (generic)	200-600	1	1_1							/files/ENCFF200KKM/, /files/ENCFF571NYD/, /files/ENCFF112LAG/, /files/ENCFF356LFX/	944955	ENCODE Processing Pipeline	f5d63c60889ac26d01ea4628d7e40a88		https://www.encodeproject.org/files/ENCFF331VLX/@@download/ENCFF331VLX.bed.gz				released	s3://encode-public/2020/10/29/e42054ad-3de1-49a1-a891-b21dfa67ebff/ENCFF331VLX.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/29/e42054ad-3de1-49a1-a891-b21dfa67ebff/ENCFF331VLX.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
