name,ID,ZNF436_vs_dK_p.val,ZNF436_vs_dK_p.adj,ZNF436_vs_dK_significant,ZNF436_vs_dK_ratio,dK_centered,GFP_centered,wt_centered,ZNF436_centered,role
YAP1,P46937-6,3.46E-09,4.67E-13,TRUE,1.86,-0.382,-0.5,-1.85,1.47,TF
IPO7,O95373,4.40E-08,5.85E-11,TRUE,1.63,-0.317,-0.181,-1.88,1.32,other
BPTF,Q12830-4,1.45E-07,4.37E-09,TRUE,0.836,-0.318,-0.499,-0.0648,0.517,remodeling
MED15,G3V1P5,1.87E-07,8.09E-09,TRUE,1.17,-0.604,0.151,-0.0254,0.566,RNAPOL2
TRIM24,O15164-2,4.22E-07,1.01E-07,TRUE,1.42,-0.136,-0.683,-1.85,1.29,TRIM
HCFC1,P51610-2,5.95E-07,2.46E-07,TRUE,1.04,-0.254,0.143,-1.15,0.783,TF
CHD4,Q14839-2,2.29E-06,9.45E-06,TRUE,0.769,0.0844,-0.574,-1.49,0.853,remodeling
TCERG1,A0A7P0T8N8,4.02E-06,2.90E-05,TRUE,0.744,0.0909,0.0661,-1.9,0.835,RNAPOL2
POGZ,A0A8V8TQ67,4.30E-06,3.23E-05,TRUE,0.833,-0.0968,-0.248,-1.11,0.736,TF
AHDC1,Q5TGY3,4.42E-06,3.37E-05,TRUE,1.01,-0.363,-0.26,-0.398,0.649,TF
CUX1,P39880,7.15E-06,8.94E-05,TRUE,2.87,-1.21,-0.459,-0.601,1.66,TF
PPP1R10,Q96QC0,8.45E-06,0.000119,TRUE,0.937,-0.306,-0.803,-0.116,0.631,other
PTCD3,Q96EY7,9.04E-06,0.000133,TRUE,-0.616,0.296,-0.000317,0.0485,-0.32,other
NCOR1,O75376,1.40E-05,0.000299,TRUE,1.42,-0.365,-0.637,-0.946,1.05,remodeling
SF3B3,Q15393,1.48E-05,0.000326,TRUE,0.61,-0.017,0.131,-1.24,0.593,mRNA
CASZ1,Q86V15,2.54E-05,0.000815,TRUE,1.59,-0.328,-0.319,-1.66,1.26,TF
IK,Q13123,2.65E-05,0.000868,TRUE,2.04,-0.693,-0.866,-0.737,1.35,mRNA
ARID1A,O14497,2.67E-05,0.000881,TRUE,1.01,0.465,-0.565,-3.5,1.47,remodeling
CHAMP1,Q96JM3,3.16E-05,0.00113,TRUE,1.16,0.0949,0.392,-2.95,1.25,TF
DGAT1,O75907,3.38E-05,0.00124,FALSE,0.58,-0.357,-0.0631,0.311,0.223,
POSTN,B1ALD9,4.26E-05,0.00175,TRUE,1.09,-0.659,1.34,-0.439,0.433,other
WIZ,M0QXA7,4.93E-05,0.00214,TRUE,0.799,0.00964,-0.281,-1.45,0.808,RNAPOL2
U2SURP,O15042-2,5.62E-05,0.00253,TRUE,0.711,0.769,-0.221,-4.35,1.48,mRNA
RNPC3,Q96LT9-2,5.89E-05,0.00267,TRUE,0.918,-0.397,-0.204,-0.113,0.521,mRNA
HN1L,H3BU16,5.89E-05,0.00268,TRUE,0.662,-0.329,0.0931,-0.0694,0.333,other
MBD3,O95983-2,8.87E-05,0.00444,TRUE,0.889,-0.202,0.258,-1.14,0.686,remodeling
DPF2,J3KMZ8,8.97E-05,0.0045,TRUE,0.967,0.136,-0.783,-1.96,1.1,remodeling
PPIG,A0A7I2V629,9.26E-05,0.00466,TRUE,0.626,-0.162,-0.0209,-0.59,0.464,other
CBX3,Q13185,9.33E-05,0.00469,TRUE,0.623,-0.0738,-0.299,-0.751,0.549,remodeling
TAGLN,Q01995,9.31E-05,0.00469,TRUE,1.15,-0.248,0.189,-1.44,0.904,other
CTR9,Q6PD62,9.37E-05,0.00471,TRUE,0.748,-0.233,-0.118,-0.485,0.515,RNAPOl2
KDM3B,Q7LBC6,0.000106181,0.00538,TRUE,2.18,-1.11,-0.211,0.228,1.07,remodeling
ZNF521,J3KTI4,0.000106797,0.00541,TRUE,1,-0.386,-0.0931,-0.402,0.618,TF
EMSY,Q7Z589-2,0.0001097,0.00556,TRUE,1.98,-0.945,0.236,-0.332,1.03,remodeling
NCBP2,P52298,0.000115317,0.00585,TRUE,0.812,-0.198,-0.635,-0.407,0.614,mRNA
ZMYM2,Q9UBW7,0.0001236,0.00635,TRUE,0.849,-0.0688,-0.302,-1.22,0.781,TF
ZNF687,Q8N1G0-2,0.000135783,0.00706,TRUE,0.955,-0.398,-0.0866,-0.261,0.557,TF
GTF2I,A0A8I5KVB5,0.000141594,0.00739,TRUE,0.894,0.304,-0.711,-2.53,1.2,RNAPOL2
C17orf85,Q53F19,0.000147011,0.00768,TRUE,0.793,-0.302,-0.212,-0.235,0.491,mRNA
BUD13,Q9BRD0,0.000163577,0.00856,TRUE,0.615,0.195,-0.41,-1.74,0.81,mRNA
RPA3,B5MC59,0.000172892,0.00903,TRUE,0.75,-0.152,-0.0238,-0.877,0.598,other
CRABP1,P29762,0.000174359,0.0091,TRUE,0.752,-0.429,-0.368,0.458,0.323,other
CHERP,J3QK89,0.000175119,0.00914,TRUE,0.833,0.432,-0.349,-3.16,1.27,other
ZNF318,Q5VUA4,0.000201707,0.0109,TRUE,1.27,0.396,-2.72,-2.31,1.67,TF
ELMO2,Q5JVZ5,0.000224152,0.0123,FALSE,-0.389,0.281,-0.321,-0.134,-0.107,
WRNIP1,Q96S55-2,0.000227338,0.0125,TRUE,0.799,-0.0719,0.24,-1.47,0.727,other
BRD7,Q9NPI1,0.00025915,0.0144,TRUE,2.22,-0.915,-0.141,-0.697,1.31,remodeling
ATRX,P46100-2,0.000259161,0.0144,FALSE,0.482,-0.0152,-0.0993,-0.836,0.467,
EP400,Q96L91-3,0.000267942,0.0149,TRUE,1.19,-0.438,-0.813,-0.0817,0.75,remodeling
RP9,A0A804HI79,0.000285941,0.0159,TRUE,0.627,-0.175,-0.469,-0.24,0.452,mRNA
SMARCA4,P51532,0.000298053,0.0166,TRUE,0.897,0.121,-0.301,-2.08,1.02,remodeling
WDR75,Q8IWA0,0.000299118,0.0166,TRUE,0.761,-0.343,-0.262,0.0279,0.417,mRNA
HDHD3,Q9BSH5,0.000335268,0.0187,FALSE,0.392,-0.169,-0.447,0.191,0.223,
PRDM16,H0YA13,0.000345638,0.0193,TRUE,1.48,-0.563,-0.524,-0.353,0.914,TF
MTA1,Q13330-3,0.000355977,0.0199,FALSE,0.477,-0.108,0.215,-0.667,0.37,
TRIM33,Q9UPN9,0.000365659,0.0204,TRUE,1.36,-0.511,-0.788,-0.152,0.85,TRIM
CDC73,Q6P1J9,0.000412049,0.0229,TRUE,0.696,-0.0819,-0.362,-0.822,0.614,RNAPOL2
AUP1,Q9Y679,0.000412954,0.0229,FALSE,0.285,-0.125,-0.166,0.0399,0.16,
SMARCA2,P51531,0.00042485,0.0235,TRUE,0.885,-0.334,-0.518,-0.089,0.551,remodeling
SMARCC2,Q8TAQ2-2,0.000427774,0.0237,TRUE,1.13,0.729,-0.227,-5.02,1.86,remodeling
LEO1,Q8WVC0-2,0.000444966,0.0245,TRUE,0.753,-0.268,-0.129,-0.348,0.485,RNAPOL2
