seqnames,start,end,width,strand,peak.ID,peak.score,TE.chr,TE.start,TE.end,TE.ID,TE.score,TE.strand,TE.fam,TE.sfam,peak.overlap,is.duplicated.peak,TE.fam.v2,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,geneId,transcriptId,distanceToTSS,ENSEMBL,SYMBOL,GENENAME,annotation.v2
chr1,847619,848437,819,*,MACS_peak_1,522.91,chr1,847843,848041,L2d,0,-,LINE/L2,L2d,198,FALSE,LINE/L2,"Exon (uc001abu.1/uc001abu.1, exon 2 of 2)",1,852953,854817,1865,2,100130417,uc010nxy.1,6380,ENSG00000223764,LINC02593,long intergenic non-protein coding RNA 2593,Exon
chr1,859473,859739,267,*,MACS_peak_2,88.8,,,,No.TE,,,No.TE,No.TE,,,No.TE,Promoter,1,860530,871276,10747,1,148398,uc001abv.1,-791,ENSG00000187634,SAMD11,sterile alpha motif domain containing 11,Promoter
chr1,876834,877471,638,*,MACS_peak_3,88.45,,,,No.TE,,,No.TE,No.TE,,,No.TE,Promoter,1,876524,879961,3438,1,148398,uc031pkp.1,310,ENSG00000187634,SAMD11,sterile alpha motif domain containing 11,Promoter
chr1,895309,896425,1117,*,MACS_peak_4,1116.98,,,,No.TE,,,No.TE,No.TE,,,No.TE,Promoter,1,895967,901099,5133,1,339451,uc001aca.2,0,ENSG00000187961,KLHL17,kelch like family member 17,Promoter
chr1,1014768,1015298,531,*,MACS_peak_5,196.69,,,,No.TE,,,No.TE,No.TE,,,No.TE,Distal Intergenic,1,1007126,1009687,2562,2,401934,uc021oen.1,-5081,ENSG00000237330,RNF223,ring finger protein 223,Distal Intergenic
chr1,1118828,1119493,666,*,MACS_peak_6,473.78,,,,No.TE,,,No.TE,No.TE,,,No.TE,"Exon (uc001acy.2/254173, exon 12 of 16)",1,1115077,1121243,6167,1,254173,uc001acz.2,3751,ENSG00000162571,TTLL10,tubulin tyrosine ligase like 10,Exon
chr1,1142423,1143131,709,*,MACS_peak_7,478.59,,,,No.TE,,,No.TE,No.TE,,,No.TE,Promoter,1,1138888,1142089,3202,2,8784,uc001add.3,-334,ENSG00000186891,TNFRSF18,TNF receptor superfamily member 18,Promoter
chr1,2039354,2040122,769,*,MACS_peak_8,393.12,,,,No.TE,,,No.TE,No.TE,,,No.TE,"Intron (uc001aiq.3/5590, intron 4 of 17)",1,2036155,2116834,80680,1,5590,uc001ais.3,3199,ENSG00000067606,PRKCZ,protein kinase C zeta,Intron
chr1,2067571,2068292,722,*,MACS_peak_9,655.45,chr1,2067843,2068072,L2c,0,-,LINE/L2,L2c,229,FALSE,LINE/L2,"Intron (uc001aiq.3/5590, intron 5 of 17)",1,2076796,2088167,11372,1,5590,uc009vlb.3,-8504,ENSG00000067606,PRKCZ,protein kinase C zeta,Intron
chr1,2348338,2349147,810,*,MACS_peak_10,566.27,chr1,2348711,2348752,L2b,0,-,LINE/L2,L2b,41,FALSE,LINE/L2,Distal Intergenic,1,2336241,2344010,7770,2,5192,uc001ajh.3,-4328,ENSG00000157911,PEX10,peroxisomal biogenesis factor 10,Distal Intergenic
chr1,2388651,2389251,601,*,MACS_peak_11,194.16,,,,No.TE,,,No.TE,No.TE,,,No.TE,Distal Intergenic,1,2407754,2436964,29211,1,9651,uc001aji.1,-18503,ENSG00000149527,PLCH2,phospholipase C eta 2,Distal Intergenic
chr1,2432605,2433181,577,*,MACS_peak_13,200.81,chr1,2432903,2432999,L2b,0,-,LINE/L2,L2b,96,FALSE,LINE/L2,"Intron (uc001aji.1/9651, intron 20 of 21)",1,2430183,2436964,6782,1,9651,uc001ajl.1,2422,ENSG00000149527,PLCH2,phospholipase C eta 2,Intron
chr1,2456553,2457198,646,*,MACS_peak_14,86.26,chr1,2456955,2457160,MIR,0,+,SINE/MIR,MIR,205,FALSE,SINE/MIR,Promoter,1,2439975,2458035,18061,2,55229,uc001ajm.1,837,ENSG00000157881,PANK4,pantothenate kinase 4 (inactive),Promoter
chr1,2477516,2478590,1075,*,MACS_peak_15,1027.27,,,,No.TE,,,No.TE,No.TE,,,No.TE,Distal Intergenic,1,2481359,2484284,2926,2,115110,uc001ajo.2,5694,,TNFRSF14-AS1,TNFRSF14 antisense RNA 1,Distal Intergenic
chr1,2790558,2791149,592,*,MACS_peak_18,162.1,,,,No.TE,,,No.TE,No.TE,,,No.TE,Distal Intergenic,1,2572807,2706230,133424,2,100287898,uc021oey.1,-84328,ENSG00000215912,TTC34,tetratricopeptide repeat domain 34,Distal Intergenic
chr1,2937304,2937989,686,*,MACS_peak_19,262.74,,,,No.TE,,,No.TE,No.TE,,,No.TE,Promoter,1,2938046,2939467,1422,1,140625,uc001ajz.3,-57,ENSG00000169717,ACTRT2,actin related protein T2,Promoter
chr1,3053917,3054602,686,*,MACS_peak_20,325.28,,,,No.TE,,,No.TE,No.TE,,,No.TE,"Intron (uc001akc.3/63976, intron 1 of 16)",1,3044539,3044599,61,1,100422968,uc021oez.1,9378,ENSG00000283572,MIR4251,microRNA 4251,Intron
chr1,3309325,3310042,718,*,MACS_peak_22,98.5,,,,No.TE,,,No.TE,No.TE,,,No.TE,"Intron (uc001akc.3/63976, intron 4 of 16)",1,3371147,3397677,26531,1,27237,uc001akg.4,-61105,ENSG00000130762,ARHGEF16,Rho guanine nucleotide exchange factor 16,Intron
chr1,3370327,3371042,716,*,MACS_peak_23,1095.65,chr1,3370615,3370716,MIRc,0,+,SINE/MIR,MIRc,101,FALSE,SINE/MIR,Promoter,1,3371147,3397677,26531,1,27237,uc001akg.4,-105,ENSG00000130762,ARHGEF16,Rho guanine nucleotide exchange factor 16,Promoter
chr1,3437310,3437834,525,*,MACS_peak_25,118.2,chr1,3437430,3437513,L2d2,0,+,LINE/L2,L2d2,83,FALSE,LINE/L2,"Intron (uc001akk.3/1953, intron 2 of 29)",1,3404506,3448012,43507,2,1953,uc001akk.3,10178,ENSG00000162591,MEGF6,multiple EGF like domains 6,Intron
