coord.TE,chrom.TE,start.TE,end.TE,TE,peak.ID,score,strand,class/fam,unmerged,H3K27ac_adipose_tissue,H3K27ac_adrenal_gland,H3K27ac_amnion,H3K27ac_angular_gyrus,H3K27ac_aorta,H3K27ac_ascending_aorta,H3K27ac_body_of_pancreas,H3K27ac_breast_epithelium,H3K27ac_caudate_nucleus,H3K27ac_chorion,H3K27ac_chorionic_villus,H3K27ac_cingulate_gyrus,H3K27ac_colonic_mucosa,H3K27ac_coronary_artery,H3K27ac_dorsolateral_prefrontal_cortex,H3K27ac_duodenal_mucosa,H3K27ac_endocrine_pancreas,H3K27ac_esophagus,H3K27ac_esophagus_muscularis_mucosa,H3K27ac_esophagus_squamous_epithelium,H3K27ac_gastrocnemius_medialis,H3K27ac_gastroesophageal_sphincter,H3K27ac_heart_left_ventricle,H3K27ac_heart_right_ventricle,H3K27ac_kidney,H3K27ac_large_intestine,H3K27ac_layer_of_hippocampus,H3K27ac_liver,H3K27ac_lung,H3K27ac_mucosa_of_rectum,H3K27ac_muscle_layer_of_colon,H3K27ac_muscle_layer_of_duodenum,H3K27ac_muscle_of_leg,H3K27ac_muscle_of_trunk,H3K27ac_ovary,H3K27ac_pancreas,H3K27ac_parathyroid_adenoma,H3K27ac_Peyer's_patch,H3K27ac_placenta,H3K27ac_placental_basal_plate,H3K27ac_prostate_gland,H3K27ac_psoas_muscle,H3K27ac_rectal_smooth_muscle_tissue,H3K27ac_right_atrium_auricular_region,H3K27ac_right_cardiac_atrium,H3K27ac_right_lobe_of_liver,H3K27ac_sigmoid_colon,H3K27ac_skeletal_muscle_tissue,H3K27ac_small_intestine,H3K27ac_spinal_cord,H3K27ac_spleen,H3K27ac_stomach,H3K27ac_subcutaneous_abdominal_adipose_tissue,H3K27ac_suprapubic_skin,H3K27ac_temporal_lobe,H3K27ac_testis,H3K27ac_thoracic_aorta,H3K27ac_thymus,H3K27ac_thyroid_gland,H3K27ac_tibial_artery,H3K27ac_tibial_nerve,H3K27ac_transverse_colon,H3K27ac_trophoblast,H3K27ac_upper_lobe_of_left_lung,H3K27ac_urinary_bladder,H3K27ac_uterus,H3K27ac_vagina,specificity.score
chr10:102456849-102457017,chr10,102456849,102457017,L2d,MACS_peak_808,0,+,LINE/L2,L2d,0.982328,1.04832666666667,0.426058,0.117209,0.0939552666666669,0.2857015,0.613531,0.5478225,0.8162035,0.5284495,0.813726,0.1732965,0.111584333333333,0.452769,0.4659345,0.68759,0,0.770497666666667,0.0730067666666667,0.459481,0.612783333333333,0.266429333333333,0.530718,0.0970683333333333,0.7657065,0,0.815143333333334,0.736112666666667,0.405779,0.255342666666667,0.7615025,0.23951,0,0.306212,0.26139,0.90787,0.7224255,0.873601666666667,0.543461333333333,0.829143,0.739146666666667,0.166583666666667,0.7855835,0.525609333333333,0.2903835,0.679688766666667,0.650488,0.815756,0.192626466666667,0,0.965099,0.334350666666667,0.672529,0.58168,0.48110805,3.392825,0.551872936666667,1.94237333333333,0.456714666666667,0.270297666666667,0.163719133333333,0.579496333333334,1.078667,0.330559666666667,0,0.321504666666667,0.214372333333333,0.635419316437014
chr10:102457230-102457810,chr10,102457230,102457810,L2b,MACS_peak_808,0,-,LINE/L2,L2b,1.05849,0.92206,0.308487,0.525258,0.654561333333334,0.46634,0.468498666666667,0.30821,0.1389741,0.669183,0.683183666666667,0.41841,0.321923333333334,0.2965265,0.3470675,0.615055,0,0.379118666666667,0.30696,0.4332,0.2612576,0.443348333333333,0.48506,0.104817,1.1236,0,0.380167666666667,0.538455033333333,0.516264333333333,0.147398333333333,0.485326,0.555757,0.302849,0.0952723500000001,0.436209,1.12389166666667,0.710967,0.767955,1.09388233333333,0.5016905,1.07253233333333,0.480653333333333,0.256091,0.551275333333333,0.1943635,0.206890333333333,0.386228,0.1606725,0.429109333333334,0.841771,0.268894333333333,0.337219666666667,0.1147275,0.785882,0.300132,2.10358,0.463308333333333,0.176331333333333,0.290720666666667,0.2668492,0.329198666666667,0.420348333333333,0.8727465,0.480377333333333,0.450561,0.468111333333333,0.210894666666667,0.469247330332789
chr10:102596753-102596962,chr10,102596753,102596962,L2c,MACS_peak_809,0,+,LINE/L2,L2c,0.803441,0.465808,1.30298,0.7602065,0.242973166666667,0.707087,0.558493,0.999518,0.2924835,0.660026,0.955737333333334,0.6379245,0.0537596666666667,0.20596655,0.4075945,0.254628,0,0.450677666666667,0.332142333333333,0.125034533333333,0.544102,0.219221,0.325479666666667,0.289914,1.11006,0,0.644318666666667,0.313471666666667,0.340790333333333,0.2979308,0.208155,0.4971135,0,0.526535,0.780377,0.980218333333334,1.6115195,0.466011,0.270331666666667,0.946804,0.785412666666667,0.193604,0.4166575,0.584807333333333,0.2287465,0.209849,0.659836,0,0.417367,0.284583,0.442959666666667,0.339923833333333,0.4364055,0.852912,0.2822265,0.562001,0.612307333333333,0.495928,0.270952366666667,0.197462666666667,0.155278666666667,0.242291933333333,0.248009,0.388387666666667,0.835408,0.494992633333333,0.303503,0.258417439338989
chr10:102597148-102597522,chr10,102597148,102597522,L2c,MACS_peak_809,0,+,LINE/L2,L2c,0.589009,0.573213666666667,0.6397205,0.2478495,0.433938666666667,0.03096435,0.494161666666667,0.688734,0.746244,0.522179,0.456864,0.4622825,0.492735666666667,0.3385025,0.9848415,0.451126,0,0.412275,0.799108,0.411242666666667,0.168952333333333,0.334524333333333,0.621794666666667,0,0.4630865,1.236715,0.237064666666667,0.276995333333333,0.613571666666667,0.429308666666667,0.536558,0.8455955,0.2274935,0.5756255,0.373026,0.308116333333333,0.528733,0.709902666666667,0.505379333333333,0.45201955,0.950916,0.252934666666667,0.3218005,0.254088133333333,0.280284,0.276119,0.282209666666667,0.5421665,0.292126666666667,0.0429626,0.352463333333333,0.568704666666667,0.251517,0.448283,0.449881,0.8859885,0.452314333333333,0.276671666666667,0.409606666666667,0.350114,0.29568,0.567883333333334,0.497611,0.405229,0.20571,0.2837209,0.4567782,0.231998753293135
chr10:102773017-102773330,chr10,102773017,102773330,L2b,MACS_peak_811,0,-,LINE/L2,L2b,1.54214,0.929620333333333,1.36715,14.381575,1.4215,3.939085,2.18533333333333,4.283725,12.95925,1.2889875,2.76840666666667,6.507195,3.76066666666667,7.80239,9.105685,0.802548,2.06446,2.06572666666667,4.11748666666667,2.14405333333333,2.89857,4.54484333333333,1.74403666666667,3.76124333333334,1.47312,0.983666,10.8739933333333,1.46275333333333,4.15536,1.71390833333333,4.5363,3.042355,1.506655,1.32437,1.10837,1.21464266666667,1.978105,1.688057,1.59114666666667,3.472875,1.97032,1.62928666666667,2.85529,3.60589333333333,1.898035,2.39560333333333,4.12043333333333,3.77682,2.18271666666667,0.889742999999999,3.7384,4.60532333333333,6.03441,1.88973,12.440865,1.45463,3.04649,0.977631,0.849868,2.26563,3.59918,3.51821666666667,1.20936,3.33368333333333,1.82195,1.93565,3.29792333333333,0.299161088593975
chr10:103063837-103063993,chr10,103063837,103063993,AluJb,MACS_peak_814,0,-,SINE/Alu,AluJb,0.248908,0.689652333333334,1.103815,2.44272,0,0.1979552,0.273444233333333,0.4333445,5.849875,0.271389,0.7931382,3.64518,1.24957833333333,0.262612,2.78596,0,0,0.227674333333333,0.923453,0.491448,0.181329,0.0681997166666667,0.233441666666667,0.654632333333333,0.632407,1.1828935,4.64455666666667,0.0915495333333334,0.369573666666667,0.7358874,0.55286325,0.28102,3.361835,3.44005,1.32486,0,0.3312855,0.383772666666667,0.971286333333333,0.4262285,0.289040333333333,0.290728666666667,1.61387,0.107300333333333,0,0.0661035333333335,0.449005,0.10170445,0.214855166666667,3.23691,0,0.508001,0.6966735,0.12727,5.06752,0.5574585,0.417412,0.192319,0.487308333333334,0.262645,0.628172,0.291763333333333,0.381664,0.594756333333333,0.0880214,0.524967,0.166747,0.308832597730579
chr10:103327063-103327181,chr10,103327063,103327181,L2c,MACS_peak_816,0,-,LINE/L2,L2c,0.962371,0.993171333333334,1.40289,0.8949695,0.12469,0.2156138,0.982503666666667,0.385596,0.4763065,0.870858,0.959982666666667,0.694992,0.539935833333333,0.8110925,1.166595,0.535026,0,0.117240333333333,0.4591108,0.409597333333333,0.264986666666667,0.160500333333333,0.00878489999999995,0,1.1040155,0.365686,0.94988,0.407153333333333,0.374493,0.448306666666667,0,0.1267781,1.70451,0.059362,0.643055,0.598629666666667,1.29854,0.590875,0.645263,0.579666,0.400529666666667,0.144629933333333,1.19433,0.574745666666667,0,0,0.798418,0.295899,0.384441333333333,0.626717,0.320934666666667,0.548955,1.078769,0.807246,1.359505,0.6219925,0.61682,0.833886333333333,0.346294666666667,0.1159355,0.515698333333333,0.18479,0.2038795,0.921001,0.380066,0.372912333333333,0.886673333333333,0.137826380493557
chr10:103327637-103327772,chr10,103327637,103327772,MER45A,MACS_peak_816,0,+,DNA/hAT-Tip100,MER45A,1.67628,0.441111666666667,1.52197,0.61064,0.179617666666667,0.5353885,0.573714666666667,0.433061,0.3022925,0.896705,0.670941666666667,1.178799,0.0760103333333334,0.27368,0.885061,1.08163,0,0.0346363333333333,0.459866666666667,0.337630466666667,0.284956666666667,0.183758533333333,0.501700133333333,0,0.2582965,0.4404795,0.50664,0.272705666666667,0.418204666666667,0,0,0.274371,0.1563,1.0780635,0.348914,0.8558671,1.2572535,0.548193666666667,0.313904,0.701631,0.539040666666667,0.114672333333333,0,0.420078333333333,0.1897195,0,0.235400733333333,0.535092,0.223221223333333,1.13783,0.253749666666667,0.291372,0,0.716614,0.803615,0.691899,0.514534,1.62663,0.490971666666667,1.02979733333333,0.316952333333333,0.225063,0.155031,0.643218666666667,0.354815,0.325011666666667,0.3888233,0.154282423883052
chr10:105252812-105252921,chr10,105252812,105252921,L2d2,MACS_peak_821,0,+,LINE/L2,L2d2,1.35659,1.021568,1.3812,5.93453,0.319512,0.611848,2.41312,1.444274,1.50196,4.845995,10.0345133333333,2.27849,1.86155333333333,0.246118,4.608535,0.844836,14.3194,0.162185666666667,0.586485,0.558791333333333,1.14597866666667,0.534834,0.571371,1.07608666666667,1.0907535,3.976855,4.02142333333333,0.844519,0.609291333333334,0.24111,4.127,0.950304999999999,3.4298,2.119695,1.46267,1.96503666666667,4.037695,0.971695666666667,17.1006433333333,7.42506,1.78877,0.0708033333333333,1.900025,0.723327333333334,0.5686165,1.16919933333333,1.36230866666667,0.955762,1.37107166666667,0.0832375999999999,0.701362,1.39593666666667,0.851501,0.249609,3.89819,1.2903355,0.350460333333333,0.625494333333333,0.370162,1.21981433333333,1.34535666666667,1.18471766666667,2.253185,0.875165,0.530137,9.37245,9.94145,0.415954540880958
chr10:105336293-105336394,chr10,105336293,105336394,MIR1_Amn,MACS_peak_822,0,-,SINE/MIR,MIR1_Amn,0.567991,0.510494333333333,0.771601,1.4535935,0.576886666666667,0.03794805,4.26566333333333,0.6639025,0.359129865,1.2367075,1.512565,1.324305,4.45189666666667,0.5720375,1.201579,0.266956,14.5405,0.352666333333333,0.552215666666667,0.444243,0.786433,0.359669666666667,0.519438333333333,0.133489333333333,0.780987,1.8253,1.79793983333333,0.189606333333333,0.610233,6.09369,1.634461,1.19064,0.420091,0.4905555,1.66569,2.27864,0.3658225,1.20152433333333,1.68720666666667,1.26987,0.684623,0.317248333333333,0,0.373304333333333,0.506658,0.784950666666667,1.63804966666667,3.37843,1.10855833333333,0,0.226606333333334,1.41689333333333,0,0.400061,1.50208,0.907745,0.241877666666667,0.164926333333333,0.0464347,0.665083666666667,0.282411333333333,2.29088,0.4436765,0.665701666666667,1.86791,3.77107,3.94369666666667,0.760062674126066
